id,publisher,isbn,title,series,author,year,ENTRYTYPE,journal,number,volume,link,pages,booktitle,crossref
1036,0,0,"Optimal Policy for Single-Machine Scheduling with Deterioration Effects, Learning Effects, Setup Times, and Availability Constraints",0,"Sheng Yu and Yinfeng Xu and Ming Liu and Feifeng Zheng",2011,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-22616-8_6,64--73,"Combinatorial Optimization and Applications - 5th International Conference, {COCOA} 2011, Zhangjiajie, China, August 4-6, 2011. Proceedings",DBLP:conf/cocoa/2011
1037,0,0,BigHouse: {A} simulation infrastructure for data center systems,0,"David Meisner and Junjie Wu and Thomas F. Wenisch",2012,inproceedings,0,0,0,http://dx.doi.org/10.1109/ISPASS.2012.6189204,35--45,"2012 {IEEE} International Symposium on Performance Analysis of Systems {\&} Software, New Brunswick, NJ, USA, April 1-3, 2012",DBLP:conf/ispass/2012
1038,0,0,"Combining Machine Learning and Pharmacophore-Based Interaction Fingerprint for in Silico Screening",0,"Tomohiro Sato and Teruki Honma and Shigeyuki Yokoyama",2010,article,Journal of Chemical Information and Modeling,1,50,http://dx.doi.org/10.1021/ci900382e,170--185,0,
1039,0,0,"European DataGrid Project: Experiences of Deploying a Large Scale Testbed for E-science Applications",0,"Fabrizio Gagliardi and Bob Jones and Mario Reale and Stephen Burke",2002,inproceedings,0,0,0,http://dx.doi.org/10.1007/3-540-45798-4_20,480--500,"Performance Evaluation of Complex Systems: Techniques and Tools, Performance 2002, Tutorial Lectures",DBLP:conf/performance/2002
1040,0,0,Model selection in reinforcement learning,0,"Amir Massoud Farahmand and Csaba Szepesv{\'{a}}ri",2011,article,Machine Learning,3,85,http://dx.doi.org/10.1007/s10994-011-5254-7,299--332,0,
1041,0,0,"{LAN} based distributed database management system architecture {(LADDBMS)} (abstract only)",0,T. S. Narayanan,1985,inproceedings,0,0,0,http://doi.acm.org/10.1145/320599.322538,428,"Proceedings of the 13th {ACM} Annual Conference on Computer Science, New Orleans, Louisiana, USA, 1985",DBLP:conf/acm/1985
1042,0,0,Inductive Learning: {A} Combinatorial Optimization Approach,0,"Janusz Kacprzyk and Grazyna Szkatula",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-3-642-05177-7_4,75--93,"Advances in Machine Learning {I:} Dedicated to the Memory of Professor Ryszard S. Michalski",DBLP:series/sci/2010-262
1043,0,0,Bayesian instance selection for the nearest neighbor rule,0,"Sylvain Ferrandiz and Marc Boull{\'{e}}",2010,article,Machine Learning,3,81,http://dx.doi.org/10.1007/s10994-010-5170-2,229--256,0,
1044,0,0,"Preferences, Identity, and Competition: Predicting Tie Strength from Demographic Data",0,Ray Reagans,2005,article,Management Science,9,51,http://dx.doi.org/10.1287/mnsc.1050.0389,1374--1383,0,
1045,0,0,"Erratum to 'Single-machine and flowshop scheduling with a general learning effect model' [Computers {\&} Industrial Engineering 56 {(2009)} 1553-1558]",0,"Wen{-}Chiung Lee and Peng{-}Jen Lai and Chin{-}Chia Wu",2010,article,Computers {\&} Industrial Engineering,1,59,http://dx.doi.org/10.1016/j.cie.2009.11.014,181,0,
1046,0,0,"Non-Asymptotic Analysis of Stochastic Approximation Algorithms for Machine Learning",0,"Francis R. Bach and Eric Moulines",2011,inproceedings,0,0,0,http://papers.nips.cc/paper/4316-non-asymptotic-analysis-of-stochastic-approximation-algorithms-for-machine-learning,451--459,"Advances in Neural Information Processing Systems 24: 25th Annual Conference on Neural Information Processing Systems 2011. Proceedings of a meeting held 12-14 December 2011, Granada, Spain.",DBLP:conf/nips/2011
1047,0,0,"An Efficient Wireless Resource Allocation Based on a Data Compressor Predictor",0,"Min Zhang and Xiaolong Yang and Hong Jiang",2005,inproceedings,0,0,0,http://dx.doi.org/10.1007/11428848_68,519--526,"Computational Science - {ICCS} 2005, 5th International Conference, Atlanta, GA, USA, May 22-25, 2005, Proceedings, Part {II}",DBLP:conf/iccS/2005-2
1048,0,0,Radial Basis Function Networks,0,Martin D. Buhmann,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_692,823--827,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1049,0,0,Generative and Discriminative Learning,0,"Bin Liu and Geoffrey I. Webb",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_332,454--455,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1050,0,0,A geometric view of conjugate priors,0,"Arvind Agarwal and Hal Daum{\'{e}} III",2010,article,Machine Learning,1,81,http://dx.doi.org/10.1007/s10994-010-5203-x,99--113,0,
1051,0,0,"An Investigation into the Application of a Graphical, Rule-Based System Utilizing Reversible Data Structures as a Possible Model for Human Pedigree Systems (Abstract)",0,"Charles Garner and Michael V. Doran and Herbert E. Longenecker Jr.",1990,inproceedings,0,0,0,http://doi.acm.org/10.1145/100348.100456,429,"Proceedings of the {ACM} 18th Annual Computer Science Conference on Cooperation, {CSC} '90, Sheraton Washington Hotel, Washington, DC, USA, February 20-22, 1990",DBLP:conf/acm/1990
1052,0,0,"Adaptive-resolution reinforcement learning with polynomial exploration in deterministic domains",0,"Andrey Bernstein and Nahum Shimkin",2010,article,Machine Learning,3,81,http://dx.doi.org/10.1007/s10994-010-5186-7,359--397,0,
1053,0,0,"Multiscale Interpolation, Backward in Time Error Analysis for Data-Driven Contaminant Simulation",0,"Craig C. Douglas and Yalchin Efendiev and Richard E. Ewing and Victor Ginting and Raytcho D. Lazarov and Martin J. Cole and Greg Jones and Chris R. Johnson",2005,inproceedings,0,0,0,http://dx.doi.org/10.1007/11428848_83,640--647,"Computational Science - {ICCS} 2005, 5th International Conference, Atlanta, GA, USA, May 22-25, 2005, Proceedings, Part {II}",DBLP:conf/iccS/2005-2
1054,Springer,3-540-66247-2,"Advances in Spatial Databases, 6th International Symposium, SSD'99, Hong Kong, China, July 20-23, 1999, Proceedings",Lecture Notes in Computer Science,0,1999,proceedings,0,0,1651,0,0,0,
1055,0,0,Tuning Machine-Learning Algorithms for Battery-Operated Portable Devices,0,"Ziheng Lin and Yan Gu and Samarjit Chakraborty",2010,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-17187-1_48,502--513,"Information Retrieval Technology - 6th Asia Information Retrieval Societies Conference, {AIRS} 2010, Taipei, Taiwan, December 1-3, 2010. Proceedings",DBLP:conf/airs/2010
1056,0,0,Adapting to Human Gamers Using Coevolution,0,"Phillipa M. Avery and Zbigniew Michalewicz",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-3-642-05179-1_4,75--100,"Advances in Machine Learning II, Dedicated to the Memory of Professor Ryszard S. Michalski",DBLP:series/sci/2010-263
1057,Springer,3-540-56869-7,"Advances in Spatial Databases, Third International Symposium, SSD'93, Singapore, June 23-25, 1993, Proceedings",Lecture Notes in Computer Science,0,1993,proceedings,0,0,692,0,0,0,
1058,0,0,The Machine Learning journal: 25 years young,0,Peter A. Flach,2011,article,Machine Learning,3,82,http://dx.doi.org/10.1007/s10994-011-5241-z,273--274,0,
1059,Springer,3-540-54414-3,"Advances in Spatial Databases, Second International Symposium, SSD'91, Z{\""{u}}rich, Switzerland, August 28-30, 1991, Proceedings",Lecture Notes in Computer Science,0,1991,proceedings,0,0,525,0,0,0,
1060,0,0,Biomedical Informatics,0,"C. David Page Jr. and Sriraam Natarajan",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_81,132,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1061,0,0,"All shapes and sizes: the first generation of national spatial data infrastructures",0,Ian Masser,1999,article,International Journal of Geographical Information Science,1,13,http://dx.doi.org/10.1080/136588199241463,67--84,0,
1062,Springer,3-540-60159-7,"Advances in Spatial Databases, 4th International Symposium, SSD'95, Portland, Maine, USA, August 6-9, 1995, Proceedings",Lecture Notes in Computer Science,0,1995,proceedings,0,0,951,0,0,0,
1063,0,0,Improved Learning of Gaussian-Bernoulli Restricted Boltzmann Machines,0,"KyungHyun Cho and Alexander Ilin and Tapani Raiko",2011,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-21735-7_2,10--17,"Artificial Neural Networks and Machine Learning - {ICANN} 2011 - 21st International Conference on Artificial Neural Networks, Espoo, Finland, June 14-17, 2011, Proceedings, Part {I}",DBLP:conf/icann/2011-1
1064,0,0,"Creating Rule Ensembles from Automatically-Evolved Rule Induction Algorithms",0,"Gisele L. Pappa and Alex Alves Freitas",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-3-642-05177-7_13,257--273,"Advances in Machine Learning {I:} Dedicated to the Memory of Professor Ryszard S. Michalski",DBLP:series/sci/2010-262
1065,0,0,"How To Add Chemical Abstracts Service Registry Numbers and Structures to Databases via Chemical Names Comparison",0,"Heinz A. Krebs and Ulrich Jordis",2000,article,Journal of Chemical Information and Computer Sciences,2,40,http://dx.doi.org/10.1021/ci9902649,293--294,0,
1066,0,0,"E-Learning Tools for Education and Training in Diagnostics and Machine Condition Monitoring",0,"Ondrej Kreibich and Radislav Smid",2010,inproceedings,0,0,0,0,357--361,"{CSEDU} 2010 - Proceedings of the Second International Conference on Computer Supported Education, Valencia, Spain, April 7-10, 2010 - Volume 2",DBLP:conf/csedu/2010-2
1067,0,0,Learning and Evolution of Autonomous Adaptive Agents,0,"Vladimir G. Red'ko and Danil V. Prokhorov",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-3-642-05177-7_25,491--500,"Advances in Machine Learning {I:} Dedicated to the Memory of Professor Ryszard S. Michalski",DBLP:series/sci/2010-262
1068,0,0,"Personal microcomputer based system of chemical information with topological structure data elaboration",0,"M. Leonor Contreras and Mauricio Deliz and Roberto Rozas",1987,article,Journal of Chemical Information and Computer Sciences,4,27,http://dx.doi.org/10.1021/ci00056a004,163--167,0,
1069,0,0,"Prediction of Regulatory sRNAs in Prokaryotes using Machine Learning Tools",0,"Na'el Abu{-}halaweh and Amit Sabnis and Robert W. Harrison",2011,inproceedings,0,0,0,0,75--81,"{BIOINFORMATICS} 2011 - Proceedings of the International Conference on Bioinformatics Models, Methods and Algorithms, Rome, Italy, 26-29 January, 2011",DBLP:conf/biostec/2011bi
1070,0,0,Towards Model-driven Data Warehouse Automation using Machine Learning,0,"Moez Essaidi and Aomar Osmani",2010,inproceedings,0,0,0,0,380--383,"{ICEC} 2010 - Proceedings of the International Conference on Evolutionary Computation, [part of the International Joint Conference on Computational Intelligence {IJCCI} 2010], Valencia, Spain, October 24 - 26, 2010",DBLP:conf/ijcci/2010-2
1071,0,0,"Research in the large 3.0: app stores, wide distribution, and big data in MobileHCI research",0,"Benjamin Poppinga and Henriette Cramer and Matthias B{\""{o}}hmer and Alistair Morrison and Frank Bentley and Niels Henze and Mattias Rost and Florian Michahelles",2012,inproceedings,0,0,0,http://doi.acm.org/10.1145/2371664.2371724,241--244,"Mobile {HCI} '12, Companion Proceedings of the 14th international conference on Human-computer interaction with mobile devices and services, San Francsico, CA, USA, September 21-24, 2012",DBLP:conf/mhci/2012c
1072,0,0,On lists and other abstract data types in the calculus of constructions,0,Jonathan P. Seldin,2000,article,Mathematical Structures in Computer Science,2,10,http://journals.cambridge.org/action/displayAbstract?aid=44861,261--276,0,
1073,0,0,"Developing a common spatial data infrastructure between State and Local Government--an Australian case study",0,"Steve Jacoby and Jessica Smith and Lisa Ting and Ian Williamson",2002,article,International Journal of Geographical Information Science,4,16,http://dx.doi.org/10.1080/13658810110096001,305--322,0,
1074,0,0,Simple Recurrent Network,0,Risto Miikkulainen,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_762,906,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1075,0,0,"Lifted digital redesign of observer-based tracker for a sampled-data system",0,"Hsun{-}Pang Wang and Jason Sheng Hong Tsai and Yong{-}Il Yi and Leang{-}San Shieh",2004,article,Int. J. Systems Science,4,35,http://dx.doi.org/10.1080/00207720410001714815,255--271,0,
1076,0,0,"Using Contextual Representations to Efficiently Learn Context-Free Languages",0,"Alexander Clark and R{\'{e}}mi Eyraud and Amaury Habrard",2010,article,Journal of Machine Learning Research,0,11,http://portal.acm.org/citation.cfm?id=1953021,2707--2744,0,
1077,0,0,Image Denoising with Kernels Based on Natural Image Relations,0,"Valero Laparra and Jaime Gutierrez and Gustavo Camps{-}Valls and Jes{\'{u}}s Malo",2010,article,Journal of Machine Learning Research,0,11,http://doi.acm.org/10.1145/1756006.1756035,873--903,0,
1078,0,0,Efficient Synchronization of Replicated Data in Distributed Systems,0,"Thorsten Sch{\""{u}}tt and Florian Schintke and Alexander Reinefeld",2003,inproceedings,0,0,0,http://dx.doi.org/10.1007/3-540-44860-8_28,274--283,"Computational Science - {ICCS} 2003, International Conference, Melbourne, Australia and St. Petersburg, Russia, June 2-4, 2003. Proceedings, Part {I}",DBLP:conf/iccS/2003-1
1079,0,0,"An Integrated Data Structure with Multiple Access Paths for Database Systems",0,"Judy Mullins and Vijay Kumar",1992,inproceedings,0,0,0,http://doi.acm.org/10.1145/131214.131222,57--64,"Proceedings of the {ACM} 20th Annual Conference on Computer Science, {CSC} '92, Kansas City, MO, USA, March 3-5, 1992",DBLP:conf/acm/1992
1080,0,0,"Application of Wave Atoms Decomposition and Extreme Learning Machine for Fingerprint Classification",0,"Abdul Adeel Mohammed and Q. M. Jonathan Wu and Maher A. Sid{-}Ahmed",2010,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-13775-4_25,246--255,"Image Analysis and Recognition, 7th International Conference, {ICIAR} 2010, P{\'{o}}voa de Varzim, Portugal, June 21-23, 2010, Proceedings, Part {II}",DBLP:conf/iciar/2010-2
1081,0,0,Rules in Data-Based Systems,0,"Stefano Ceri and Raghu Ramakrishnan",1997,incollection,0,0,0,0,1142--1157,The Computer Science and Engineering Handbook,DBLP:books/crc/tucker1997
1082,0,0,Conformational freedom in 3-D databases. 1. Techniques,0,"N. W. Murrall and E. Keith Davies",1990,article,Journal of Chemical Information and Computer Sciences,3,30,http://dx.doi.org/10.1021/ci00067a016,312--316,0,
1083,Springer,3-540-51324-8,"Database Machines, Sixth International Workshop, {IWDM} '89, Deauville, France, June 19-21, 1989, Proceedings",Lecture Notes in Computer Science,0,1989,proceedings,0,0,368,0,0,0,
1084,Springer,978-0-387-94920-8,"Data structure programming - with the standard template library in {C++}",Undergraduate texts in computer science,Joseph Bergin,1998,book,0,0,0,0,0,0,
1085,0,0,"Semi-supervised local Fisher discriminant analysis for dimensionality reduction",0,"Masashi Sugiyama and Tsuyoshi Id{\'{e}} and Shinichi Nakajima and Jun Sese",2010,article,Machine Learning,01-Feb,78,http://dx.doi.org/10.1007/s10994-009-5125-7,35--61,0,
1086,0,0,Disaster management in real time simulation using machine learning,0,"Mohammed Talat Khouj and Cesar Lopez and Sarbjit Sarkaria and Jos{\'{e}} R. Mart{\'{\i}}",2011,inproceedings,0,0,0,http://dx.doi.org/10.1109/CCECE.2011.6030716,1507--1510,"Proceedings of the 24th Canadian Conference on Electrical and Computer Engineering, {CCECE} 2011, Niagara Falls, Ontario, Canada, 8-11 May, 2011",DBLP:conf/ccece/2011
1087,0,0,"Let the Fingers Do the Walking: Object Manipulation in an NF\({}^{\mbox{2}}\) Database Editor",0,Lutz M. Wegner,1991,inproceedings,0,0,0,http://dx.doi.org/10.1007/BFb0038201,337--370,"New Results and New Trends in Computer Science, Graz, Austria, June 20-21, 1991, Proceedings [on occasion of H. Maurer's 50th birthday]",DBLP:conf/birthday/1991maurer
1088,0,0,Polynomial regression under arbitrary product distributions,0,"Eric Blais and Ryan O'Donnell and Karl Wimmer",2010,article,Machine Learning,02-Mar,80,http://dx.doi.org/10.1007/s10994-010-5179-6,273--294,0,
1089,0,0,Concurrent Algorithms and Data Types Animation over the Internet,0,"Giuseppe Cattaneo and Umberto Ferraro Petrillo and Giuseppe F. Italiano and Vittorio Scarano",1998,inproceedings,0,0,0,0,63--80,"Fundamentals - Foundations of Computer Science, {IFIP} World Computer Congress 1998, August 31 - September 4, 1998, Vienna/Austria and Budapest/Hungary",DBLP:conf/ifip/1998-1
1090,0,0,Semi-Naive Bayesian Learning,0,"Fei Zheng and Geoffrey I. Webb",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_748,889--892,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1091,0,0,Quality Control of Chemical Data Bases,0,"Stephen R. Heller and George W. A. Milne and Richard J. Feldmann",1976,article,Journal of Chemical Information and Computer Sciences,4,16,http://dx.doi.org/10.1021/ci60008a010,232--233,0,
1092,0,0,Margin-based active learning for structured predictions,0,"Kevin Small and Dan Roth",2010,article,Int. J. Machine Learning {\&} Cybernetics,01-Apr,1,http://dx.doi.org/10.1007/s13042-010-0003-y,3--25,0,
1093,0,0,"Sentence-based metadata: an approach and tool for viewing database designs",0,"John M. Boyle and Jakob Gunge and John Bryden and Kaz Librowski and Hsin{-}Yi Hanna",2002,article,J. Information Science,2,28,http://dx.doi.org/10.1177/016555150202800206,143--156,0,
1094,0,0,"2nd workshop on research in the large. using app stores, wide distribution channels and big data in ubicomp research",0,"Henriette S. M. Cramer and Mattias Rost and Frank Bentley and David A. Shamma",2011,inproceedings,0,0,0,http://doi.acm.org/10.1145/2030112.2030244,619--620,"UbiComp 2011: Ubiquitous Computing, 13th International Conference, UbiComp 2011, Beijing, China, September 17-21, 2011, Proceedings",DBLP:conf/huc/2011
1095,0,0,"Topic - Time - Geography: Navigating the Triangle of Social Science Data",0,Wendy Thomas,2003,inproceedings,0,0,0,0,0,"{IASSIST} 2003 - Strength in Numbers, Ottawa, Canada, May 27-30, 2003",DBLP:conf/iassist/2003
1096,Springer,3-540-14040-9,"Rough Sets, Fuzzy Sets, Data Mining, and Granular Computing, 9th International Conference, RSFDGrC 2003, Chongqing, China, May 26-29, 2003, Proceedings",Lecture Notes in Computer Science,0,2003,proceedings,0,0,2639,0,0,0,
1097,0,0,"Big, Fast XQuery: Enabling Content Applications",0,Mary Holstege,2008,article,{IEEE} Data Eng. Bull.,4,31,http://sites.computer.org/debull/A08dec/marklogic.pdf,41--48,0,
1098,0,0,"Competitive Price Discrimination Strategies in a Vertical Channel Using Aggregate Retail Data",0,"David Besanko and Jean{-}Pierre Dub{\'{e}} and Sachin Gupta",2003,article,Management Science,9,49,http://dx.doi.org/10.1287/mnsc.49.9.1121.16565,1121--1138,0,
1099,0,0,"A production inventory model with fuzzy coefficients using parametric geometric programming approach",0,"G. S. Mahapatra and T. K. Mandal and G. P. Samanta",2011,article,Int. J. Machine Learning {\&} Cybernetics,2,2,http://dx.doi.org/10.1007/s13042-011-0018-z,99--105,0,
1100,0,0,"The use of hybrid manifold learning and support vector machines in the prediction of business failure",0,"Fengyi Lin and Ching{-}Chiang Yeh and Meng{-}Yuan Lee",2011,article,Knowl.-Based Syst.,1,24,http://dx.doi.org/10.1016/j.knosys.2010.07.009,95--101,0,
1101,0,0,Imputation of missing sensor data values using in-exact replicas,0,"Michael W. Bigrigg and H. Scott Matthews and James H. Garrett Jr.",2009,article,IJISTA,1,7,http://dx.doi.org/10.1504/IJISTA.2009.025103,4--23,0,
1102,Springer,3-540-57419-0,"Information and Knowledge Management, Expanding the Definition of ""Database"", First International Conference, CIKM'92, Baltimore, Maryland, USA, November 8-11, 1992, Selected Papers",Lecture Notes in Computer Science,0,1993,proceedings,0,0,752,0,0,0,
1103,Springer,3-540-64924-7,"Advances in Databases and Information Systems, Second East European Symposium, ADBIS'98, Poznan, Poland, Spetember 7-10, 1998, Proceedings",Lecture Notes in Computer Science,0,1998,proceedings,0,0,1475,0,0,0,
1104,Springer,3-540-66485-8,"Advances in Databases and Information Systems, Third East European Conference, ADBIS'99, Maribor, Slovenia, September 13-16, 1999, Proceedings",Lecture Notes in Computer Science,0,1999,proceedings,0,0,1691,0,0,0,
1105,0,0,Statistical Relational Learning,0,"Luc De Raedt and Kristian Kersting",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_786,916--924,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1106,0,0,Markov Decision Processes,0,William T. B. Uther,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_512,642--646,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1107,0,0,Grammatical relational database model (abstract only),0,"Behrooz K. Seyed{-}Abbassi and John C. Thompson",1987,inproceedings,0,0,0,http://doi.acm.org/10.1145/322917.323030,369,"Proceedings of the 15th {ACM} Annual Conference on Computer Science, St. Louis, Missouri, USA, February 16-19, 1987",DBLP:conf/acm/1987
1108,0,0,Cluster Discovery Techniques for Exploratory Spatial Data Analysis,0,"Alan T. Murray and Vladimir Estivill{-}Castro",1998,article,International Journal of Geographical Information Science,5,12,http://dx.doi.org/10.1080/136588198241734,431--443,0,
1109,0,0,A Compress-Based Association Mining Algorithm for Large Dataset,0,"Mafruz Zaman Ashrafi and David Taniar and Kate A. Smith",2003,inproceedings,0,0,0,http://dx.doi.org/10.1007/3-540-44864-0_101,978--987,"Computational Science - {ICCS} 2003, International Conference, Melbourne, Australia and St. Petersburg, Russia, June 2-4, 2003. Proceedings, Part {IV}",DBLP:conf/iccS/2003-4
1110,0,0,Function P-sets,0,Kaiquan Shi,2011,article,Int. J. Machine Learning {\&} Cybernetics,4,2,http://dx.doi.org/10.1007/s13042-011-0032-1,281--288,0,
1111,0,0,"Trading-Off Diversity and Accuracy for Optimal Ensemble Tree Selection in Random Forests",0,"Haytham Elghazel and Alex Aussem and Florence Perraud",2011,incollection,0,0,0,http://dx.doi.org/10.1007/978-3-642-22910-7_10,169--179,Ensembles in Machine Learning Applications,DBLP:series/sci/2011-373
1112,0,0,"\emph{Modula-2} by J. Beider and P. Jackowitz {PWS} Engineering and Computer Science, Boston (Van Nostrand Reinhold U.K.), 1986 ({\textsterling}15.95).\emph{Modula-2}: Programming With Data Structures by {B.K.} Walker Wadsworth International, Belmont, California (Van Nostrand Reinhold U.K.), 1986 ({\textsterling}15.95)",0,Iain D. Craig,1987,article,Robotica,2,5,http://dx.doi.org/10.1017/S0263574700015289,143,0,
1113,0,0,Mobility Prediction Based on Machine Learning,0,"Theodoros Anagnostopoulos and Christos Anagnostopoulos and Stathes Hadjiefthymiades",2011,inproceedings,0,0,0,http://dx.doi.org/10.1109/MDM.2011.60,27--30,"12th {IEEE} International Conference on Mobile Data Management, {MDM} 2011, Lule{\aa}, Sweden, June 6-9, 2011, Volume 2",DBLP:conf/mdm/2011-2
1114,0,0,"A Study of the Database Industry in China, with some Comparisons with South Korea",0,"Yanli Qi and Boyoung Ryo",2003,article,J. Information Science,3,29,http://dx.doi.org/10.1177/01655515030293011,229--236,0,
1115,0,0,"Generalized High-Level Synthesis of Wavelet-Based Digital Systems via Nonlinear {I/O} Data Space Transformations",0,"Dongming Peng and Mi Lu",2001,inproceedings,0,0,0,http://dx.doi.org/10.1007/3-540-45545-0_100,884--893,"Computational Science - {ICCS} 2001, International Conference, San Francisco, CA, USA, May 28-30, 2001. Proceedings, Part {I}",DBLP:conf/iccS/2001-1
1116,0,0,"Semantics Modeling Issues for Processing Natural Language Database Queries",0,D. G. Shin,1990,inproceedings,0,0,0,http://doi.acm.org/10.1145/100348.100350,8--14,"Proceedings of the {ACM} 18th Annual Computer Science Conference on Cooperation, {CSC} '90, Sheraton Washington Hotel, Washington, DC, USA, February 20-22, 1990",DBLP:conf/acm/1990
1117,0,0,"Data Compression in Digital Systems By Roy Hoffman. Digital Multimedia Standards Series. International Thomson Publishing/Chapman {\&} Hall: New York, 1996, 415 pp, {ISBN} 0-412-08551-8",0,Venkat K. Raman,2000,article,Journal of Chemical Information and Computer Sciences,3,40,http://dx.doi.org/10.1021/ci000343g,881--882,0,
1118,0,0,"Robust filtering with missing data and a deterministic description of noise and uncertainty",0,"Andrey V. Savkin and Ian R. Petersen",1997,article,Int. J. Systems Science,4,28,http://dx.doi.org/10.1080/00207729708929397,373--378,0,
1119,ISCA,0,"2011 Symposium on Machine Learning in Speech and Language Processing, {MLSLP} 2011, Bellevue, WA, USA, June 27, 2011",0,0,2011,proceedings,0,0,0,http://www.isca-speech.org/archive/mlslp_2011/,0,0,
1120,0,0,"The Big Picture: Selection and Design Issues for Image Information Systems",0,Lois F. Lunin,1996,inproceedings,0,0,0,0,0,Data Processing Clinic,
1121,0,0,"Weight Matrices and Spatial Autocorrelation Statistics Using a Topological Vector Data Model",0,Ayse Can,1996,article,International Journal of Geographical Information Science,8,10,http://dx.doi.org/10.1080/02693799608902122,1009--1017,0,
1122,0,0,Certainty Equivalence Principle,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_106,166,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
1123,0,0,"The use of computer-monitored data in information science and communication research",0,"Ronald E. Rice and Christine L. Borgman",1983,article,JASIS,4,34,http://dx.doi.org/10.1002/asi.4630340404,247--256,0,
1124,0,0,"Scientometric datafiles. {A} comprehensive set of indicators on 2649 journals and 96 countries in all major science fields and subfields 1981-1985",0,"Andr{\'{a}}s Schubert and Wolfgang Gl{\""{a}}nzel and Tibor Braun",1989,article,Scientometrics,01-Jun,16,http://dx.doi.org/10.1007/BF02093234,3--478,0,
1125,0,0,"Integrated science for environmental decision-making: the challenge for biodiversity and ecosystem informatics",0,"Gladys A. Cotter and Mike Frame and Ron Sepic",2004,article,Data Science Journal,0,3,http://dx.doi.org/10.2481/dsj.3.38,38--59,0,
1126,0,0,Chemical and spectral databases: a look into the future,0,"John R. Rumble Jr. and David R. Lide",1985,article,Journal of Chemical Information and Computer Sciences,3,25,http://dx.doi.org/10.1021/ci00047a018,231--235,0,
1127,0,0,"Neural Network Method To Analyze Data Compression in {DNA} and {RNA} Sequences",0,"Torsten Alvager and George Graham and David Hutchison and James Westgard",1997,article,Journal of Chemical Information and Computer Sciences,2,37,http://dx.doi.org/10.1021/ci960119k,335--337,0,
1128,Springer,3-540-55015-1,"Deductive and Object-Oriented Databases, Second International Conference, DOOD'91, Munich, Germany, December 16-18, 1991, Proceedings",Lecture Notes in Computer Science,0,1991,proceedings,0,0,566,0,0,0,
1129,Springer,978-3-642-19895-3,"Privacy and Security Issues in Data Mining and Machine Learning - International {ECML/PKDD} Workshop, {PSDML} 2010, Barcelona, Spain, September 24, 2010. Revised Selected Papers",Lecture Notes in Computer Science,0,2011,proceedings,0,0,6549,http://dx.doi.org/10.1007/978-3-642-19896-0,0,0,
1130,Springer,3-540-57530-8,"Deductive and Object-Oriented Databases, Third International Conference, DOOD'93, Phoenix, Arizona, USA, December 6-8, 1993, Proceedings",Lecture Notes in Computer Science,0,1993,proceedings,0,0,760,0,0,0,
1131,0,0,Purifying data by machine learning with certainty levels,0,"Shlomi Dolev and Guy Leshem and Reuven Yagel",2010,inproceedings,0,0,0,http://doi.acm.org/10.1145/1953563.1953567,5,"Proceedings of the Third International Workshop on Reliability, Availability, and Security, {WRAS} 2010, conjunction with {PODC} 2010 Zurich, Switzerland, July 29, 2010",DBLP:conf/podc/2010wras
1132,0,0,"Outside the Closed World: On Using Machine Learning for Network Intrusion Detection",0,"Robin Sommer and Vern Paxson",2010,inproceedings,0,0,0,http://dx.doi.org/10.1109/SP.2010.25,305--316,"31st {IEEE} Symposium on Security and Privacy, S{\&}P 2010, 16-19 May 2010, Berleley/Oakland, California, {USA}",DBLP:conf/sp/2010
1133,0,0,Beyond the data processing horizon,0,Carl Hammer,1984,inproceedings,0,0,0,http://doi.acm.org/10.1145/800171.809657,281--286,"Proceedings of the 1984 {ACM} Annual Conference on Computer Science: The fifth generation challenge, San Francisco, CA, USA, October 1984",DBLP:conf/acm/1984
