id,ltable_ID,rtable_ID,ltable_ENTRYTYPE,ltable_author,ltable_title,ltable_year,rtable_ENTRYTYPE,rtable_author,rtable_title,rtable_year,label
236893,283,1839,inproceedings,"Lijun Chang and
Jeffrey Xu Yu and
Lu Qin and
Xuemin Lin and
Chengfei Liu and
Weifa Liang",Efficiently computing k-edge connected components via graph decomposition,2013,inproceedings,"Chang, Lijun and Yu, Jeffrey Xu and Qin, Lu and Lin, Xuemin and Liu, Chengfei and Liang, Weifa",Efficiently computing k-edge connected components via graph decomposition,2013.0,1
837638,1783,775,incollection,"Ellen Riloff and
Lee A. Hollaar",Text Databases and Information Retrieval,1997,inproceedings,"Squicciarini, Anna Cinzia and Lee, Wonjun and Bertino, Elisa and Song, Carol X",A policy-based accountability tool for grid computing systems,2008.0,0
1129391,2330,2135,article,"Daniel Crankshaw and
Peter Bailis and
Joseph E. Gonzalez and
Haoyuan Li and
Zhao Zhang and
Michael J. Franklin and
Ali Ghodsi and
Michael I. Jordan","The Missing Piece in Complex Analytics: Low Latency, Scalable Model
Management and Serving with Velox",2014,article,"Saul, Lawrence K and Jordan, Michael I",Mixed memory markov models: Decomposing complex stochastic processes as mixtures of simpler ones,1999.0,0
861116,1867,70,article,"Joseph M. Piwowar and
Ellsworth F. LeDrew and
Douglas J. Dudycha","Integration of spatial data in vector and raster formats in a geographic
information system environment",1990,article,"Lam, Wang and Liu, Lu and Prasad, STS and Rajaraman, Anand and Vacheri, Zoheb and Doan, AnHai",Muppet: MapReduce-style processing of fast data,2012.0,0
870903,1902,2054,article,"St{\'{e}}phan Cl{\'{e}}men{\c{c}}on and
Marine Depecker and
Nicolas Vayatis","Adaptive partitioning schemes for bipartite ranking - How to grow
and prune a ranking tree",2011,inproceedings,"Yu, Jin and Shi, Yu Xiang and Yang, Gui Wu",Finite Element Analysis and Experimental of Milling Force for Aeronautical Thin-Walled Workpiece,2011.0,0
1152650,2398,257,inproceedings,"Adrian Sandu and
Emil M. Constantinescu and
Wenyuan Liao and
Gregory R. Carmichael and
Tianfeng Chai and
John H. Seinfeld and
Dacian N. Daescu","Ensemble-Based Data Assimilation for Atmospheric Chemical Transport
Models",2005,techreport,"Culotta, Aron and McCallum, Andrew",A conditional model of deduplication for multi-type relational data,2005.0,0
584055,852,1462,article,J{\'{a}}n Mikul{\'{a}}s Lis{\'{y}},"Data Fitting in the Chemical Sciences, by the Method of Least Squares
: by {PETER} {GANS.} Wiley, New York {(1992).} {ISBN} 0-471-93412-7;
258 Pp. Including Index and Contents",1993,article,"Adelson-Velskiy, GM and Arlazarov, VL and Donskoy, MV and Elman, Terence Sejnowski and Hinton, Geoffrey","Acharya, A., see Chakrabarti, PP. Adam, A. and J.-P Laurent, LAURA, a system to debug stu-dent programs Adcock, J., see Char\&k, E. Addanki, S., R. Cremonini and JS Penberthy, Graphs of mod",1997.0,0
205807,256,1631,inproceedings,"Xiaobing Wu and
Yufei Tao and
Raymond Chi{-}Wing Wong and
Ling Ding and
Jeffrey Xu Yu",Finding the influence set through skylines,2009,inproceedings,"Cheng, Jiefeng and Yu, Jeffrey Xu",On-line exact shortest distance query processing,2009.0,0
373275,628,2070,article,"Bingsheng He and
Jeffrey Xu Yu and
Amelie Chi Zhou","Improving Update-Intensive Workloads on Flash Disks through Exploiting
Multi-Chip Parallelism",2015,article,"Chang, Lijun and Lin, Xuemin and Zhang, Wenjie and Yu, Jeffrey Xu and Zhang, Ying and Qin, Lu",Optimal enumeration: Efficient top-k tree matching,2015.0,0
869364,1895,1307,article,"Les Kitchen and
E. V. Krishnamurthy","Fast, parallel, relaxation screening for chemical patent data-base
search",1982,inproceedings,"Bishop, Christopher M and Svensen, Markus and Hinton, Geoffrey E",Distinguishing text from graphics in on-line handwritten ink,2004.0,0
450679,693,1600,article,"Bingsheng He and
Jeffrey Xu Yu",High-Throughput Transaction Executions on Graphics Processors,2011,article,"He, Bingsheng and Yu, Jeffrey Xu",High-throughput transaction executions on graphics processors,2011.0,1
922799,2028,2310,inproceedings,"Francis R. Bach and
Michael I. Jordan",Tree-dependent Component Analysis,2002,inproceedings,"Bach, Francis R and Jordan, Michael I",Tree-dependent component analysis,2002.0,1
1046315,2210,450,article,"Gert R. G. Lanckriet and
Tijl De Bie and
Nello Cristianini and
Michael I. Jordan and
William Stafford Noble",A statistical framework for genomic data fusion,2004,article,"Bhatti, Rafae and Bertino, Elisa and Ghafoor, Arif and Joshi, James BD",XML-based specification for Web services document security,2004.0,0
181453,235,1976,inproceedings,"Gabriel Pui Cheong Fung and
Jeffrey Xu Yu and
Hongjun Lu",Classifying High-Speed Text Streams,2003,incollection,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Lu, Hongjun",Classifying high-speed text streams,2003.0,1
686366,1236,914,inproceedings,"Daeho Lim and
Kyungsook Han","Mining {RNA} Structure Elements from the Structure Data of Protein-RNA
Complexes",2003,incollection,"Bertino, Elisa and Carminati, Barbara and Ferrari, Elena and Mella, Giovanni",Author-X--A System for Secure Dissemination and Update of XML Documents,2003.0,0
528340,758,2527,inproceedings,"Rong{-}Hua Li and
Jeffrey Xu Yu and
Jianquan Liu",Link prediction: the power of maximal entropy random walk,2011,inproceedings,"Gedik, Buǧra and Bordawekar, Rajesh R and Yu, Philip S",CellSort: high performance sorting on the cell processor,2007.0,0
1144490,2372,2243,inproceedings,"Sina Meraji and
Carl Tropper",A Machine Learning Approach for Optimizing Parallel Logic Simulation,2010,inproceedings,"Bodik, Peter and Fox, Armando and Franklin, Michael J and Jordan, Michael I and Patterson, David A","Characterizing, modeling, and generating workload spikes for stateful services",2010.0,0
54253,121,169,article,Rui Zhou and Chengfei Liu and Jianxin Li and Junhu Wang and Jeffrey Xu Yu,"Evaluating Irredundant Maximal Contained Rewritings for XPath Queries
on Views",2014,article,"McCallum, Andrew and Pal, Chris and Druck, Greg and Wang, Xuerui",Multi-conditional learning: Generative/discriminative training for clustering and classification,2006.0,0
348447,608,1795,inproceedings,"Hongwei Wu and
Qing Wang and
Jeffrey Xu Yu and
Aoying Zhou and
Shuigeng Zhou","UD(k, l)-Index: An Efficient Approximate Index for {XML} Data",2003,article,"Qin, Lu and Yu, Jeffrey Xu and Chang, Lijun",Ten thousand SQLs: parallel keyword queries computing,2010.0,0
80222,142,1760,inproceedings,Junhu Wang and Jeffrey Xu Yu and Chengfei Liu,On Tree Pattern Query Rewriting Using Views,2007,article,"Wu, Di and Ke, Yiping and Yu, Jeffrey Xu and Philip, S Yu and Chen, Lei",Leadership discovery when data correlatively evolve,2011.0,0
990284,2129,2213,inproceedings,"Yue Guan and
Jennifer G. Dy and
Michael I. Jordan","A Unified Probabilistic Model for Global and Local Unsupervised Feature
Selection",2011,inproceedings,"Fox, Emily B and Jordan, Michael I and Sudderth, Erik B and Willsky, Alan S",Sharing features among dynamical systems with beta processes,2009.0,0
507003,741,1840,inproceedings,"Jiefeng Cheng and
Jeffrey Xu Yu and
Xuemin Lin and
Haixun Wang and
Philip S. Yu",Fast Computation of Reachability Labeling for Large Graphs,2006,book,"Yu, JX and Lin, X and Wang, H and Yu, PS and Cheng, J",Fast computation of reachability labeling for large graphs,2006.0,0
863105,1874,2572,article,"Guang{-}Bin Huang and
Dianhui Wang and
Yuan Lan",Extreme learning machines: a survey,2011,article,"Du, Zhidian and Li, Lin and Chen, Chin-Fu and Philip, S Yu and Wang, James Z",G-SESAME: web tools for GO-term-based gene similarity analysis and knowledge discovery,2009.0,0
464712,705,2047,article,"Haixun Wang and
Jeffrey Xu Yu",Guest Editorial: Special Issue on Managing and Mining Massive Graphs,2015,article,"HE, Z and HE, J and YU, J and YU, M and others","STUDY ON THE TOXICITY OF BLUE-GREEN-ALGAL BLOOMS IN LAKE-DONGHU, WUHAN",1988.0,0
399166,649,2076,inproceedings,"Zheng Liu and
Ruoming Jin and
Hong Cheng and
Jeffrey Xu Yu",Frequent Subgraph Summarization with Error Control,2013,incollection,"Liu, Zheng and Jin, Ruoming and Cheng, Hong and Yu, Jeffrey Xu",Frequent subgraph summarization with error control,2013.0,0
198789,250,1893,inproceedings,"Masahiro Ishikawa and
Hanxiong Chen and
Kazutaka Furuse and
Jeffrey Xu Yu and
Nobuo Ohbo",MB+Tree: {A} Dynamically Updatable Metric Index for Similarity Searches,2000,article,"Johnson, CW and Yu, JX and Stanton, RB",Architecture of a highperformance persistent object store,1995.0,0
1135945,2340,2106,article,"Gert R. G. Lanckriet and
Nello Cristianini and
Peter L. Bartlett and
Laurent El Ghaoui and
Michael I. Jordan",Learning the Kernel Matrix with Semidefinite Programming,2004,article,"Lanckriet, Gert RG and Cristianini, Nello and Bartlett, Peter and Ghaoui, Laurent El and Jordan, Michael I",Learning the kernel matrix with semidefinite programming,2004.0,1
956717,2084,2166,article,"Lawrence K. Saul and
Tommi S. Jaakkola and
Michael I. Jordan",Mean Field Theory for Sigmoid Belief Networks,1996,article,"Saul, Lawrence K and Jaakkola, Tommi and Jordan, Michael I",Mean field theory for sigmoid belief networks,1996.0,1
575447,820,2895,article,"Jie Zhu and
Xiaoping Li and
Weiming Shen","Effective genetic algorithm for resource-constrained project scheduling
with limited preemptions",2011,inproceedings,"Aggarwal, Charu C and Xie, Yan and Yu, Philip S",On dynamic data-driven selection of sensor streams,2011.0,0
981301,2117,2336,inproceedings,"Amol Deshpande and
Minos N. Garofalakis and
Michael I. Jordan",Efficient Stepwise Selection in Decomposable Models,2001,article,"Jordan, Michael I",Indeterminate motor skill learning problems,1989.0,0
145974,201,1310,inproceedings,"Lijun Chang and
Xuemin Lin and
Lu Qin and
Jeffrey Xu Yu and
Wenjie Zhang","Index-based Optimal Algorithms for Computing Steiner Components with
Maximum Connectivity",2015,article,"LeCun, Yann and Bengio, Yoshua and Hinton, Geoffrey",Deep learning,2015.0,0
285742,412,2904,inproceedings,"Hakim Lounis and
Tamer Fares Gayed and
Mounir Boukadoum","Using Efficient Machine-Learning Models to Assess Two Important Quality
Factors: Maintainability and Reusability",2011,inproceedings,"Wu, Kun-Lung and Yu, Philip S",Efficient query monitoring using adaptive multiple key hashing,2002.0,0
852925,1834,3114,incollection,"Martin L. Puterman and
Jonathan Patrick",Dynamic Programming,2010,article,"Wong, Frederick and Martin, Rich and Arpaci-Dusseau, Remzi and Wu, David and Culler, David",Understanding Application Scaling NAS Parallel Benchmarks 2.2 on NOW and SGI Origin 2000,1998.0,0
397477,648,984,inproceedings,"Lijun Chang and
Jeffrey Xu Yu and
Lu Qin",Context-sensitive document ranking,2009,article,"Kirkpatrick, Michael and Bertino, Elisa and Sheldon, Frederick T",Restricted authentication and encryption for cyber-physical systems,2009.0,0
241568,287,1705,incollection,"Denilson Barbosa and
Ioana Manolescu and
Jeffrey Xu Yu",Application Benchmark,2009,inproceedings,"Wu, Xiaobing and Tao, Yufei and Wong, Raymong Chi-Wing and Ding, Ling and Yu, Jeffrey Xu",Finding the influence set through skylines,2009.0,0
543864,771,1978,article,"Guandong Xu and
Jeffrey Xu Yu and
Wookey Lee",Guest editorial: social networks and social Web mining,2013,article,"Zhou, YF and Ni, CC and Zheng, TT and Xu, NJ and Wang, Y and Yu, JJ and Zhang, JP and Gao, GS",[Effects of Shengmai injection on testicular injury after torsion/detorsion in rats of different ages].,2011.0,0
559703,784,1901,inproceedings,"Ying Zhang and
Xuemin Lin and
Yidong Yuan and
Masaru Kitsuregawa and
Xiaofang Zhou and
Jeffrey Xu Yu",Summarizing Order Statistics over Data Streams with Duplicates,2007,inproceedings,"Zhang, Ying and Lin, Xuemin and Yuan, Yidong and Kitsuregawa, Masaru and Zhou, Xiaofang and Yu, Jeffrey Xu",Summarizing order statistics over data streams with duplicates,2007.0,1
1150103,2393,3073,article,"M. Herz and
H. K. Kaindl and
A. A. Salib and
R. Warszawski","Comparative efficiency of searching abstract text in the Chemical
Abstracts Service database",1985,inproceedings,"Bairavasundaram, Lakshmi N and Rungta, Meenali and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",Limiting trust in the storage stack,2006.0,0
1088623,2272,2361,inproceedings,"Sriram Sankararaman and
Gad Kimmel and
Eran Halperin and
Michael I. Jordan",On the Inference of Ancestries in Admixed Populations,2008,article,"Sankararaman, Sriram and Kimmel, Gad and Halperin, Eran and Jordan, Michael I",On the inference of ancestries in admixed populations,2008.0,0
751264,1468,2935,inproceedings,"Andrew E. Johnson and
Thomas G. Moher and
Yongjoo Cho and
Daniel C. Edelson and
Brian J. Reiser","6th Graders ""doin' science"" - Collecting Data and Looking for Patterns
in a Virtual Field",2002,article,"Harter, Tyler and Borthakur, Dhruba and Dong, Siying and Aiyer, Amitanand S and Tang, Liyin and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",Analysis of HDFS under HBase: a facebook messages case study.,2014.0,0
936235,2051,2197,inproceedings,"John William Paisley and
David M. Blei and
Michael I. Jordan",Stick-Breaking Beta Processes and the Poisson Process,2012,inproceedings,"Mackey, Lester W and Jordan, Michael I and Talwalkar, Ameet",Divide-and-conquer matrix factorization,2011.0,0
966454,2097,2389,inproceedings,"Tommi S. Jaakkola and
Lawrence K. Saul and
Michael I. Jordan",Fast Learning by Bounding Likelihoods in Sigmoid Type Belief Networks,1995,misc,"Wolf, Joel L and Philip, S Yu",Look-ahead scheduling to support video-on-demand applications,1995.0,0
682952,1224,2901,article,"John Skvoretz and
Shelley A. Smith and
Chuck Baldwin",Parallel-processing applications for data analysis in the social sciences,1992,incollection,"Yu, Philip S. and Chen, M-S and Wolf, Joel L and Turek, John",Parallel query processing,1993.0,0
933186,2045,2234,inproceedings,"Erik B. Sudderth and
Michael I. Jordan",Shared Segmentation of Natural Scenes Using Dependent Pitman-Yor Processes,2008,inproceedings,"Sudderth, Erik B and Jordan, Michael I",Shared segmentation of natural scenes using dependent Pitman-Yor processes,2009.0,0
1006068,2151,2114,article,"David A. Cohn and
Zoubin Ghahramani and
Michael I. Jordan",Active Learning with Statistical Models,1996,article,"Cohn, David A and Ghahramani, Zoubin and Jordan, Michael I",Active learning with statistical models,1996.0,1
422868,669,1883,article,"Rong{-}Hua Li and
Jeffrey Xu Yu",Scalable Diversified Ranking on Large Graphs,2013,article,"Liu, Li-Bing and Xie, Feng and Chang, Kai-Kai and Li, Ming-Qing and Meng, Yu-Han and Wang, Xiao-Hui and Li, Hui and Li, Da-Jin and Yu, Jin-Jin",Hypoxia promotes the proliferation of cervical carcinoma cells through stimulating the secretion of IL-8,2014.0,0
931728,2043,2252,article,"Fredrik Lindsten and
Thomas B. Sch{\""{o}}n and
Michael I. Jordan",Bayesian semiparametric Wiener system identification,2013,inproceedings,"Lanckriet, Gert and Ghaoui, Laurent E and Bhattacharyya, Chiranjib and Jordan, Michael I",Minimax probability machine,2001.0,0
1251005,2714,799,inproceedings,"Emile de Maat and
Kai Krabben and
Radboud Winkels",Machine Learning versus Knowledge Based Classification of Legal Texts,2010,article,"Armani, B and Catania, B and Bertino, E and Laradi, D and Marin, B and Zarri, Gian Piero",Repository management in an intelligent indexing approach for multimedia digital libraries,2010.0,0
365104,621,2673,article,"Jun He and
Hongyan Liu and
Jeffrey Xu Yu and
Pei Li and
Wei He and
Xiaoyong Du","Assessing single-pair similarity over graphs by aggregating first-meeting
probabilities",2014,article,"Philip, S Yu and Cornell, Douglas W and Dias, Daniel M and Iyer, Balakrishna R",Analysis of affinity based routing in multi-system data sharing,1987.0,0
928487,2037,2289,article,"Kevin P. Murphy and
Yair Weiss and
Michael I. Jordan",Loopy Belief Propagation for Approximate Inference: An Empirical Study,2013,article,"Jaakkola, Tommi S and Jordan, Michael I",Recursive algorithms for approximating probabilities in graphical models,1997.0,0
374370,629,1991,article,"Zheng Liu and
Jeffrey Xu Yu and
Hong Cheng",Approximate Homogeneous Graph Summarization,2012,article,"Li, Jianxin and Liu, Chengfei and Zhou, Rui and Yu, Jeffrey Xu",Query-Driven Frequent Co-Occurring Term Computation over Relational Data Using MapReduce,2015.0,0
884257,1942,2085,article,Roger Bivand,"Spatial Data Analysis: Theory and Practice. By Robert Haining (Cambridge:
Cambridge University Press, 2003) {ISBN} 0-521-77437-3",2004,article,"Griffiths, DMBTL and Tenenbaum, MIJJB",Hierarchical topic models and the nested Chinese restaurant process,2004.0,0
1159275,2418,676,book,John G. Hughes,Object-oriented databases,1991,article,"Guerrini, E Bertino B Catania G and Montesi, D",Transaction Optimization in Rule Databases,1994.0,0
1088706,2272,3091,inproceedings,"Sriram Sankararaman and
Gad Kimmel and
Eran Halperin and
Michael I. Jordan",On the Inference of Ancestries in Admixed Populations,2008,inproceedings,"Weiss, Zev and Subramanian, Sriram and Sundararaman, Swaminathan and Talagala, Nisha and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",ANViL: advanced virtualization for modern non-volatile memory devices,2015.0,0
203980,254,2569,article,"Jeffrey Xu Yu and
Zhihong Chong and
Hongjun Lu and
Zhenjie Zhang and
Aoying Zhou","A false negative approach to mining frequent itemsets from high speed
transactional data streams",2006,article,"Yuan, Mingxuan and Chen, Lei and Yu, Philip S",Personalized privacy protection in social networks,2010.0,0
249722,294,545,inproceedings,"Hanxiong Chen and
Jianquan Liu and
Kazutaka Furuse and
Jeffrey Xu Yu and
Nobuo Ohbo","Indexing the Function: An Efficient Algorithm for Multi-dimensional
Search with Expensive Distance Functions",2009,inproceedings,"She, Wei and Yen, I and Thuraisingham, Bhavani and Bertino, Elisa and others",The SCIFC model for information flow control in web service composition,2009.0,0
657367,1125,2185,article,"Gladys A. Cotter and
Mike Frame and
Ron Sepic","Integrated science for environmental decision-making: the challenge
for biodiversity and ecosystem informatics",2004,inproceedings,"Lawrence, Neil D and Jordan, Michael I",Semi-supervised learning via Gaussian processes,2004.0,0
69120,133,1639,article,"Ching{-}Fung Cheung and
Jeffrey Xu Yu and Hongjun Lu",Constructing Suffix Tree for Gigabyte Sequences with Megabyte Memory,2005,article,"Cheung, Ching-Fung and Yu, Jeffrey Xu and Lu, Hongjun",Constructing suffix tree for gigabyte sequences with megabyte memory,2005.0,1
90095,150,1908,inproceedings,Qi Pan and Hong Cheng and Di Wu and Jeffrey Xu Yu and Yiping Ke,Stock risk mining by news,2010,inproceedings,"Pan, Qi and Cheng, Hong and Wu, Di and Yu, Jeffrey Xu and Ke, Yiping",Stock risk mining by news,2010.0,1
1136033,2340,2197,article,"Gert R. G. Lanckriet and
Nello Cristianini and
Peter L. Bartlett and
Laurent El Ghaoui and
Michael I. Jordan",Learning the Kernel Matrix with Semidefinite Programming,2004,inproceedings,"Mackey, Lester W and Jordan, Michael I and Talwalkar, Ameet",Divide-and-conquer matrix factorization,2011.0,0
438821,683,1606,inproceedings,"Peixiang Zhao and
Jeffrey Xu Yu and
Philip S. Yu",Graph Indexing: Tree + Delta {\textgreater}= Graph,2007,inproceedings,"Lian, Xiang and Chen, Lei and Yu, Jeffrey Xu and Wang, Guoren and Yu, Ge",Similarity match over high speed time-series streams,2007.0,0
211024,262,1725,article,"Kian{-}Lee Tan and
Jeffrey Xu Yu and
Pin{-}Kwang Eng","Supporting Range Queries in a Wireless Environment with Nonuniform
Broadcast",1999,article,"Tan, Kian-Lee and Yu, Jeffrey Xu and Eng, Pin-Kwang",Supporting range queries in a wireless environment with nonuniform broadcast,1999.0,1
1020395,2173,2265,inproceedings,"Peter Bod{\'{\i}}k and
Greg Friedman and
Lukas Biewald and
Helen Levine and
George Candea and
Kayur Patel and
Gilman Tolle and
Jonathan Hui and
Armando Fox and
Michael I. Jordan and
David A. Patterson","Combining Visualization and Statistical Analysis to Improve Operator
Confidence and Efficiency for Failure Detection and Localization",2005,inproceedings,"Bodik, Peter and Friedman, Greg and Biewald, Lukas and Levine, Helen and Candea, George and Patel, Kayur and Tolle, Gilman and Hui, Jon and Fox, Armando and Jordan, Michael and others",Combining visualization and statistical analysis to improve operator confidence and efficiency for failure detection and localization,2005.0,1
110376,167,1842,inproceedings,"Weiguo Zheng and
Lei Zou and Xiang Lian and Jeffrey Xu Yu and Shaoxu Song and Dongyan Zhao","How to Build Templates for {RDF} Question/Answering: An Uncertain
Graph Similarity Join Approach",2015,article,"Yu, JX and Bian, XH and Yu, Y and Wang, YG",Full-scale collapse test and numerical simulation of deepwater pipeline,2012.0,0
776297,1561,2855,article,"Frank S. C. Tseng and
Chia{-}Wei Chen",Integrating heterogeneous data warehouses using {XML} technologies,2005,article,"Zhu, Xingquan and Ding, Wei and Philip, S Yu and Zhang, Chengqi",One-class learning and concept summarization for data streams,2011.0,0
393011,644,2259,inproceedings,"Jeffrey Xu Yu and
Michael K. Ng and
Joshua Zhexue Huang",Patterns Discovery Based on Time-Series Decomposition,2001,article,"Wolpert, Daniel M and Ghahramani, Zoubin and Jordan, Michael I",Perceptual distortion contributes to the curvature of human reaching movements,1994.0,0
170068,225,1770,article,"Cheqing Jin and
Ke Yi and
Lei Chen and
Jeffrey Xu Yu and
Xuemin Lin",Sliding-window top-k queries on uncertain streams,2008,article,"Jin, Cheqing and Yi, Ke and Chen, Lei and Yu, Jeffrey Xu and Lin, Xuemin",Sliding-window top-k queries on uncertain streams,2010.0,0
969764,2101,2212,article,"Tommi S. Jaakkola and
Michael I. Jordan",Computing Upper and Lower Bounds on Likelihoods in Intractable Networks,2013,inproceedings,"Jaakkola, Tommi S and Jordan, Michael I",Computing upper and lower bounds on likelihoods in intractable networks,1996.0,0
564895,791,2187,article,"Eric P. Xing and
Michael I. Jordan and
Roded Sharan",Bayesian Haplotype Inference via the Dirichlet Process,2007,article,"Xing, Eric P and Jordan, Michael I and Sharan, Roded",Bayesian haplotype inference via the Dirichlet process,2007.0,1
742550,1444,2607,inproceedings,"Jan Mandel and
Lynn S. Bennethum and
Mingshi Chen and
Janice L. Coen and
Craig C. Douglas and
Leopoldo P. Franca and
Craig J. Johns and
Minjeong Kim and
Andrew V. Knyazev and
Robert Kremens and
Vaibhav Kulkarni and
Guan Qin and
Anthony Vodacek and
Jianjia Wu and
Wei Zhao and
Adam Zornes",Towards a Dynamic Data Driven Application System for Wildfire Simulation,2005,inproceedings,"Chi, Yun and Philip, S Yu and Wang, Haixun and Muntz, Richard R",Loadstar: A Load Shedding Scheme for Classifying Data Streams.,2005.0,0
15467,55,2924,inproceedings,"Rui Camacho and Rita Ferreira and Natacha Rosa and V{\^{a}}nia Guimar{\~{a}}es and
Nuno A. Fonseca and V{\'{\i}}tor Santos Costa and Miguel de Sousa and Alexandre Magalh{\~{a}}es","Predicting the Start of Protein \emph{alpha}-Helices Using Machine
Learning Algorithms",2010,misc,"Chang, Shu-Ping and Gu, Xiaohui and Papadimitriou, Spyridon and Yu, Philip Shi-lung",Systems and methods for predictive failure management,2010.0,0
864214,1878,1175,inproceedings,"Sung Jin Choi and
Hee Yong Youn and
Hyung Soo Lee",On Highly Secure and Available Data Storage Systems,2004,inproceedings,"Goldberger, Jacob and Hinton, Geoffrey E and Roweis, Sam T and Salakhutdinov, Ruslan",Neighbourhood components analysis,2004.0,0
30548,101,2397,inproceedings,Nurcan Yuruk and Xiaowei Xu and Chen Li and Jeffrey Xu Yu,"Supporting Keyword Queries on Structured Databases with Limited Search
Interfaces",2008,misc,"Aggarwal, Charu C and Philip, S Yu",Content based method for product-peer filtering,2002.0,0
613942,969,860,article,Qiang Cheng,"A Sparse Learning Machine for High-Dimensional Data with Application
to Microarray Gene Analysis",2010,inproceedings,"Bhargav-Spantzel, Abhilasha and Squicciarini, Anna and Bertino, Elisa and Kong, Xiangwei and Zhang, Weike",Biometrics-based identifiers for digital identity management,2010.0,0
1051660,2217,2313,inproceedings,"Gert R. G. Lanckriet and
Minghua Deng and
Nello Cristianini and
Michael I. Jordan and
William Stafford Noble","Kernel-Based Data Fusion and Its Application to Protein Function Prediction
in Yeast",2004,article,"Mackey, Lester and Jordan, Michael I and Chen, Richard Y and Farrell, Brendan and Tropp, Joel A and others",Matrix concentration inequalities via the method of exchangeable pairs,2014.0,0
25314,93,2202,inproceedings,"Daniel Ortiz{-}Mart{\'{\i}}nez and
Ismael Garc{\'{\i}}a{-}Varea and
Francisco Casacuberta",Online Learning for Interactive Statistical Machine Translation,2010,article,"Ghahramani, Zoubin and Wolptrt, Daniel M and Jordan, Michael I",Computational models of sensorimotor integration,1997.0,0
1030467,2186,2206,inproceedings,"Francis R. Bach and
Michael I. Jordan",Thin Junction Trees,2001,inproceedings,"Bach, Francis R and Jordan, Michael I",Thin junction trees,2001.0,1
242977,288,1941,inproceedings,"Cheqing Jin and
Fang Xiong and
Joshua Zhexue Huang and
Jeffrey Xu Yu and
Aoying Zhou",Mining Frequent Items in Spatio-temporal Databases,2004,incollection,"Jin, Cheqing and Xiong, Fang and Huang, Joshua Zhexue and Yu, Jeffrey Xu and Zhou, Aoying",Mining frequent items in spatio-temporal databases,2004.0,1
900102,1993,453,article,"Boris Stilman and
Vladimir Yakhnis and
Oleg Umanskiy",The Primary Language of ancient battles,2011,book,"Bertino, Elisa and Ooi, Beng Chin and Sacks-Davis, Ron and Tan, Kian-Lee and Zobel, Justin and Shidlovsky, Boris and Andronico, Daniele",Indexing techniques for advanced database systems,2012.0,0
1225128,2627,1434,article,J. H. Westbrook,"Problems in the computerization of chemical information: capture of
tabular and graphical data",1993,article,"Adel, Tameem and Smith, Benn and Urner, Ruth and Stashuk, Daniel and Lizotte, Daniel J",Generative multiple-instance learning models for quantitative electromyography,2013.0,0
1149426,2391,2979,inproceedings,"Heidi J. C. Ellis and
Steven A. Demurjian","{ADAM:} a graphical, object-oriented database-design tool and code
generator",1991,article,"Arpaci, Remzi H and Dusseau, Andrea C and Vahdat, Amin M and Liu, Lok T and Anderson, Thomas E and Patterson, David A",The interaction of parallel and sequential workloads on a network of workstations,1995.0,0
417693,665,1611,inproceedings,"Gabriel Pui Cheong Fung and
Jeffrey Xu Yu and
Philip S. Yu and
Hongjun Lu",Parameter Free Bursty Events Detection in Text Streams,2005,inproceedings,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Yu, Philip S and Lu, Hongjun",Parameter free bursty events detection in text streams,2005.0,1
1237004,2665,808,inproceedings,"Jue Xie and
Frada Burstein","Using Machine Learning to Support Resource Quality Assessment: An
Adaptive Attribute-Based Approach for Health Information Portals",2011,inproceedings,"Ni, Qun and Bertino, Elisa",xfACL: An extensible functional language for access control,2011.0,0
1161972,2428,1183,inproceedings,"Oliver R{\""{u}}bel and
Sean Ahern and
E. Wes Bethel and
Mark D. Biggin and
Hank Childs and
Estelle Cormier{-}Michel and
Angela H. DePace and
Michael B. Eisen and
Charless C. Fowlkes and
Cameron G. R. Geddes and
Hans Hagen and
Bernd Hamann and
Min{-}Yu Huang and
Soile V. E. Ker{\""{a}}nen and
David W. Knowles and
Cris L. Luengo Hendriks and
Jitendra Malik and
Jeremy S. Meredith and
Peter Messmer and
Prabhat","Coupling visualization and data analysis for knowledge discovery from
multi-dimensional scientific data",2010,article,"Hinton, Geoffrey E",Deterministic Boltzmann learning performs steepest descent in weight-space,1989.0,0
183910,237,1973,inproceedings,"Nan Tang and
Jeffrey Xu Yu and
M. Tamer {\""{O}}zsu and
Kam{-}Fai Wong",Hierarchical Indexing Approach to Support XPath Queries,2008,inproceedings,"Tang, Nan and Yu, Jeffrey Xu and {\""O}zsu, M Tamer and Wong, Kam-Fai",Hierarchical indexing approach to support XPath queries,2008.0,1
235618,282,1770,article,"Chengfei Liu and
Jianxin Li and
Jeffrey Xu Yu and
Rui Zhou",Adaptive relaxation for querying heterogeneous {XML} data sources,2010,article,"Jin, Cheqing and Yi, Ke and Chen, Lei and Yu, Jeffrey Xu and Lin, Xuemin",Sliding-window top-k queries on uncertain streams,2010.0,0
