id,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
621,Beyond k-anonymity: A decision theoretic framework for assessing privacy risk,Privacy in Statistical Databases,"Lebanon, Guy and Scannapieco, Monica and Fouad, Mohamed R and Bertino, Elisa",217--232,2006,0,incollection,Springer Berlin Heidelberg,0,0,
622,Towards supporting fine-grained access control for Grid Resources,"Distributed Computing Systems, 2004. FTDCS 2004. Proceedings. 10th IEEE International Workshop on Future Trends of","Bertino, Elisa and Mazzoleni, Pietro and Crispo, Bruno and Sivasubramanian, Swaminathan",59--65,2004,IEEE,inproceedings,0,0,0,
623,Secure dissemination of XML content using structure-based routing,"Enterprise Distributed Object Computing Conference, 2006. EDOC'06. 10th IEEE International","Kundu, Ashish and Bertino, Elisa",153--164,2006,IEEE,inproceedings,0,0,0,
624,Modeling spatio-temporal constraints for multimedia objects,0,"Kwon, Yong-Moo and Ferrari, Elena and Bertino, Elisa",217--238,1999,0,article,North-Holland,Data \& Knowledge Engineering,3,30
625,Security for web services: Standards and research issues,0,"Martino, Lorenzo D and Bertino, Elisa",48--74,2009,0,article,IGI Global,International Journal of Web Services Research (IJWSR),4,6
626,Definition and analysis of index organizations for object-oriented database systems,0,"Bertino, Elisa and Catania, Barbara and Chiesa, Luca",65--108,1998,0,article,Elsevier,Information Systems,2,23
627,Improving scalability of software cloud for composite web services,"Cloud Computing, 2009. CLOUD'09. IEEE International Conference on","Wu, Jian and Liang, Qianhui and Bertino, Elisa",143--146,2009,IEEE,inproceedings,0,0,0,
628,Modeling and language support for the management of pattern-bases,0,"Terrovitis, Manolis and Vassiliadis, Panos and Skiadopoulos, Spiros and Bertino, Elisa and Catania, Barbara and Maddalena, Anna and Rizzi, Stefano",368--397,2007,0,article,Elsevier,Data \& Knowledge Engineering,2,62
629,Active-U-Datalog: Integrating active rules in a logical update language,Transactions and Change in Logic Databases,"Bertino, Elisa and Catania, Barbara and Gervasi, Vincenzo and Raffaet{\`a}, Alessandra",107--133,1998,0,incollection,Springer Berlin Heidelberg,0,0,
630,T-ODMG: an ODMG compliant temporal object model supporting multiple granularity management,0,"Bertino, Elisa and Ferrari, Elena and Guerrini, Giovanna and Merlo, Isabella",885--927,2003,0,article,Pergamon,Information Systems,8,28
631,Responding to anomalous database requests,Secure Data Management,"Kamra, Ashish and Bertino, Elisa and Nehme, Rimma",50--66,2008,0,incollection,Springer Berlin Heidelberg,0,0,
632,Modelling Database Updates with Constraint Logic Programming,Modelling Database Dynamics,"Bertino, Elisa and Martelli, Maurizio and Montesi, Danilo",121--132,1993,0,incollection,Springer London,0,0,
633,Views and security in distributed database management systems,Advances in Database Technology—EDBT'88,"Bertino, Elisa and Haas, Laura M",155--169,1988,0,incollection,Springer Berlin Heidelberg,0,0,
634,An infrastructure for managing secure update operations on XML data,Proceedings of the eighth ACM symposium on Access control models and technologies,"Bertino, Elisa and Mella, Giovanni and Correndo, Gianluca and Ferrari, Elena",110--122,2003,ACM,inproceedings,0,0,0,
635,The indispensability of dispensable indexes,0,"Bertino, Elisa and Ooi, Beng Chin",17--27,1999,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",1,11
636,Password policy simulation and analysis,Proceedings of the 2007 ACM workshop on Digital identity management,"Shay, Richard and Bhargav-Spantzel, Abhilasha and Bertino, Elisa",1--10,2007,ACM,inproceedings,0,0,0,
637,Detecting mobile malware threats to homeland security through static analysis,0,"Seo, Seung-Hyun and Gupta, Aditi and Sallam, Asmaa Mohamed and Bertino, Elisa and Yim, Kangbin",43--53,2014,0,article,Academic Press,Journal of Network and Computer Applications,0,38
638,Trigger inheritance and overriding in an active object database system,0,"Bertino, Elisa and Guerrini, Giovanna and Merlo, Isabella",588--608,2000,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",4,12
639,Deductive object databases,Object-Oriented Programming,"Bertino, Elisa and Guerrini, Giovanna and Montesi, Danilo",213--235,1994,0,incollection,Springer Berlin Heidelberg,0,0,
640,A temporal object-oriented data model with multiple granularities,"Temporal Representation and Reasoning, 1999. TIME-99. Proceedings. Sixth International Workshop on","Merlo, Isabella and Bertino, Elisa and Ferrari, Elena and Guerrini, Giovanna",73--81,1999,IEEE,inproceedings,0,0,0,
641,A new model for secure dissemination of xml content,0,"Kundu, Ashish and Bertino, Elisa",292--301,2008,0,article,IEEE,"Systems, Man, and Cybernetics, Part C: Applications and Reviews, IEEE Transactions on",3,38
642,Efficient privacy-aware record integration,Proceedings of the 16th International Conference on Extending Database Technology,"Kuzu, Mehmet and Kantarcioglu, Murat and Inan, Ali and Bertino, Elisa and Durham, Elizabeth and Malin, Bradley",167--178,2013,ACM,inproceedings,0,0,0,
643,A formal definition of the chimera object-oriented data model,0,"Guerrini, Giovanna and Bertino, Elisa and Bal, Ren{\'e}",5--40,1998,0,article,Kluwer Academic Publishers,Journal of Intelligent Information Systems,1,11
644,PROBE: an obfuscation system for the protection of sensitive location information in LBS,0,"Damiani, M and Bertino, Elisa and Silvestri, Claudio",0,2008,0,article,0,"TR2001-145, CERIAS",0,
645,Authentication and key management for advanced metering infrastructures utilizing physically unclonable functions,"Smart Grid Communications (SmartGridComm), 2012 IEEE Third International Conference on","Nabeel, Mohamed and Kerr, Sam and Ding, Xiaoyu and Bertino, Elisa",324--329,2012,IEEE,inproceedings,0,0,0,
646,StreamShield: a stream-centric approach towards security and privacy in data stream environments,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,"Nehme, Rimma V and Lim, Hyo-Sang and Bertino, Elisa and Rundensteiner, Elke A",1027--1030,2009,ACM,inproceedings,0,0,0,
647,Protecting location privacy against spatial inferences: the PROBE approach,Proceedings of the 2nd SIGSPATIAL ACM GIS 2009 International Workshop on Security and Privacy in GIS and LBS,"Damiani, Maria Luisa and Bertino, Elisa and Silvestri, Claudio",32--41,2009,ACM,inproceedings,0,0,0,
648,Modeling multilevel entities using single level objects,Deductive and Object-Oriented Databases,"Bertino, Elisa and Jajodia, Sushil",415--428,1993,0,incollection,Springer Berlin Heidelberg,0,0,
649,Achieving k-anonymity in mobile ad hoc networks,"Secure Network Protocols, 2005.(NPSec). 1st IEEE ICNP Workshop on","Wu, Xiaoxin and Bertino, Elisa",37--42,2005,IEEE,inproceedings,0,0,0,
650,A hybrid technique for private location-based queries with database protection,Advances in Spatial and Temporal Databases,"Ghinita, Gabriel and Kalnis, Panos and Kantarcioglu, Murat and Bertino, Elisa",98--116,2009,0,incollection,Springer Berlin Heidelberg,0,0,
651,Trust establishment in the formation of Virtual Organizations,0,"Squicciarini, Anna C and Paci, Federica and Bertino, Elisa",13--23,2011,0,article,North-Holland,Computer Standards \& Interfaces,1,33
652,Access control and privacy in location-aware services formobile organizations,null,"Damiani, Maria Luisa and Bertino, Elisa",11,2006,IEEE,inproceedings,0,0,0,
653,Location privacy in moving-object environments,0,"Lin, Dan and Bertino, Elisa and Cheng, Reynold and Prabhakar, Sunil",0,2009,0,article,0,0,0,
654,Directions for web and e-commerce applications security,0,"Thuraisingham, Bhavani and Clifton, Chris and Gupta, Amar and Bertino, Elisa and Ferrari, Elena",0,2002,0,article,MIT Sloan Working Paper,0,0,
655,Privacy-preserving matching of spatial datasets with protection against background knowledge,Proceedings of the 18th SIGSPATIAL International Conference on Advances in Geographic Information Systems,"Ghinita, Gabriel and Vicente, Carmen Ruiz and Shang, Ning and Bertino, Elisa",3--12,2010,ACM,inproceedings,0,0,0,
656,A Service-Oriented Approach to Security--Concepts and Issues,"Future Trends of Distributed Computing Systems, 2007. FTDCS'07. 11th IEEE International Workshop on","Bertino, Elisa and Martino, Lorenzo D",31--40,2007,IEEE,inproceedings,0,0,0,
657,Semantic assumptions and query evaluation in temporal databases,ACM SIGMOD Record,"Bettini, Claudio and Wang, X Sean and Bertino, Elisa and Jajodia, Sushil",257--268,1995,ACM,inproceedings,0,0,2,24
658,A graph-theoretic approach to indexing in object-oriented databases,"Data Engineering, 1996. Proceedings of the Twelfth International Conference on","Shidlovsky, Boris and Bertino, Elisa",230--237,1996,IEEE,inproceedings,0,0,0,
659,Towards mechanisms for detection and prevention of data exfiltration by insiders: keynote talk paper,"Proceedings of the 6th ACM Symposium on Information, Computer and Communications Security","Bertino, Elisa and Ghinita, Gabriel",10--19,2011,ACM,inproceedings,0,0,0,
660,Research issues in discretionary authorizations for object bases,Security for Object-Oriented Systems,"Bertino, Elisa and Samarati, Pierangela",183--199,1994,0,incollection,Springer London,0,0,
661,How to authenticate graphs without leaking,Proceedings of the 13th International Conference on Extending Database Technology,"Kundu, Ashish and Bertino, Elisa",609--620,2010,ACM,inproceedings,0,0,0,
662,A constraint-based approach to shape management in multimedia databases,0,"Bertino, Elisa and Catania, Barbara",2--16,1998,0,article,Springer-Verlag,Multimedia Systems,1,6
663,Object-oriented databases,Indexing Techniques for Advanced Database Systems,"Bertino, Elisa and Ooi, Beng Chin and Sacks-Davis, Ron and Tan, Kian-Lee and Zobel, Justin and Shidlovsky, Boris and Catania, Barbara",1--38,1997,0,incollection,Springer US,0,0,
664,Context-aware adaptation of access-control policies,0,"Samuel, Arjmand and Ghafoor, Arif and Bertino, Elisa",51--54,2008,0,article,IEEE,"Internet Computing, IEEE",1,12
665,Data security in location-aware applications: an approach based on RBAC,0,"Damiani, Maria Luisa and Bertino, Elisa and Perlasca, Paolo",5--38,2007,0,article,Inderscience Publishers,International Journal of Information and Computer Security,02-Jan,1
666,Receipt management-transaction history based trust establishment,Proceedings of the 2007 ACM workshop on Digital identity management,"Bhargav-Spantzel, Abhilasha and Woo, Jungha and Bertino, Elisa",82--91,2007,ACM,inproceedings,0,0,0,
667,A role-involved purpose-based access control model,0,"Kabir, Md Enamul and Wang, Hua and Bertino, Elisa",809--822,2012,0,article,Springer US,Information Systems Frontiers,3,14
668,Querying multigranular spatio-temporal objects,Database and Expert Systems Applications,"Camossi, Elena and Bertolotto, Michela and Bertino, Elisa",390--403,2008,0,incollection,Springer Berlin Heidelberg,0,0,
669,Privacy-preserving filtering and covering in content-based publish subscribe systems,0,"Nabeel, Mohamed and Shang, Ning and Bertino, Elisa",0,2009,0,techreport,0,0,0,
670,A controlled access to spatial data on web,0,"Bertino, Elisa and Damiani, Maria Luisa",82--91,2004,0,article,0,7th AGILE Conference on Geographic Information Science,0,
671,Efficient integration of fine-grained access control in large-scale grid services,"Services Computing, 2005 IEEE International Conference on","Mazzoleni, Pietro and Crispo, Bruno and Sivasubramanian, Swaminathan and Bertino, Elisa",77--84,2005,IEEE,inproceedings,0,0,0,1
672,An approach to support method invocations in object-oriented queries,"Research Issues on Data Engineering, 1992: Transaction and Query Processing, Second International Workshop on","Bertino, Elisa and Quarati, A",163--168,1992,IEEE,inproceedings,0,0,0,
673,A secure multiparty computation privacy preserving OLAP framework over distributed XML data,Proceedings of the 2010 ACM symposium on applied computing,"Cuzzocrea, Alfredo and Bertino, Elisa",1666--1673,2010,ACM,inproceedings,0,0,0,
674,A similarity measure for comparing XACML policies,0,"Lin, Dongyang and Rao, Prahlada and Ferrini, Rolando and Bertino, Elisa and Lobo, Jorge",1946--1959,2013,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",9,25
675,A discretionary access control model with temporal authorizations,Proceedings of the 1994 workshop on New security paradigms,"Bertino, Elisa and Bettini, Claudio and Samarati, Pierangela",102--107,1994,IEEE Computer Society Press,inproceedings,0,0,0,
676,Transaction Optimization in Rule Databases,0,"Guerrini, E Bertino B Catania G and Montesi, D",137--145,1994,0,article,0,Proc. Fourth IEEE Research Issues in Data Eng.: Active Database Systems (RIDE-ADS'94),0,
677,Minimal credential disclosure in trust negotiations,0,"Paci, Federica and Bauer, David and Bertino, Elisa and Blough, Douglas M and Squicciarini, Anna and Gupta, Aditi",221--239,2009,0,article,Springer,Identity in the Information Society,3,2
678,Prox-RBAC: a proximity-based spatially aware RBAC,Proceedings of the 19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,"Kirkpatrick, Michael S and Damiani, Maria Luisa and Bertino, Elisa",339--348,2011,ACM,inproceedings,0,0,0,
679,A hybrid approach to private record matching,0,"Inan, Ali and Kantarcioglu, Murat and Ghinita, Gabriel and Bertino, Elisa",684--698,2012,0,article,IEEE,"Dependable and Secure Computing, IEEE Transactions on",5,9
680,A theoretical formulation for degrees of isolation in databases,0,"Atluri, Vijayalakshmi and Bertino, Elisa and Jajodia, Sushil",47--53,1997,0,article,Elsevier,Information and Software Technology,1,39
681,Fine-grained integration of access control policies,0,"Rao, Prathima and Lin, Dan and Bertino, Elisa and Li, Ninghui and Lobo, Jorge",91--107,2011,0,article,Elsevier,Computers \& Security,2,30
682,Identity-based long running negotiations,Proceedings of the 4th ACM workshop on Digital identity management,"Squicciarini, Anna C and Trombetta, Alberto and Bertino, Elisa and Braghin, Stefano",97--106,2008,ACM,inproceedings,0,0,0,
683,A constraint-based approach for the authoring of multi-topic multimedia presentations,"Multimedia and Expo, 2005. ICME 2005. IEEE International Conference on","Bertino, Elisa and Ferrari, Elena and Perego, Andrea and Santi, Diego",578--581,2005,IEEE,inproceedings,0,0,0,
684,Multi-granular spatio-temporal object models: concepts and research directions,Object Databases,"Bertino, Elisa and Camossi, Elena and Bertolotto, Michela",132--148,2010,0,incollection,Springer Berlin Heidelberg,0,0,
685,Selective and authentic third-party distribution of XML documents,0,"Bertino, Elisa and Carminati, Barbara and Ferrari, Elena and Thuraisingham, Bhavani and Gupta, Amar",0,2002,0,article,MIT Sloan working paper,0,0,
686,A dynamic key management solution to access hierarchy,0,"Zou, Xukai and Karandikar, Yogesh and Bertino, Elisa",437--450,2007,0,article,Wiley Online Library,International Journal of Network Management,6,17
687,Software techniques to combat drift in puf-based authentication systems,0,"Kirkpatrick, Michael S and Bertino, Elisa",9,2010,0,article,0,Workshop on Secure Component and System Identification (SECSI 2010),0,
688,Applying data mining techniques to wafer manufacturing,Principles of Data Mining and Knowledge Discovery,"Bertino, Elisa and Catania, Barbara and Caglio, Eleonora",41--50,1999,0,incollection,Springer Berlin Heidelberg,0,0,
689,Sistemas de bases de datos orientadas a objetos: conceptos y arquitecturas,0,"Bertino, Elisa and Martino, Lorenzo",0,1995,0,book,Ediciones D{\'\i}az de Santos,0,0,
690,Quality of service in multimedia digital libraries,0,"Bertino, Elisa and Elmagarmid, Ahmed K and Hacid, Mohand-Sa{\""\i}d",35--40,2001,0,article,0,SIGMOD Record,1,30
691,Assessing the trustworthiness of location data based on provenance,Proceedings of the 17th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,"Dai, Chenyun and Lim, Hyo-Sang and Bertino, Elisa and Moon, Yang-Sae",276--285,2009,ACM,inproceedings,0,0,0,
692,Query optimization by using knowledge about data semantics,0,"Bertino, Elisa and Musto, Daniela",121--155,1992,0,article,North-Holland,Data \& knowledge engineering,2,9
693,Leakage-free redactable signatures,Proceedings of the second ACM conference on Data and Application Security and Privacy,"Kundu, Ashish and Atallah, Mikhail J and Bertino, Elisa",307--316,2012,ACM,inproceedings,0,0,0,
694,Verification of receipts from M-commerce transactions on NFC cellular phones,"E-Commerce Technology and the Fifth IEEE Conference on Enterprise Computing, E-Commerce and E-Services, 2008 10th IEEE Conference on","Woo, Jungha and Bhargav-Spantzel, Abhilasha and Squicciarini, Anna Cinzia and Bertino, Elisa",36--43,2008,IEEE,inproceedings,0,0,0,
695,An efficient certificateless encryption for secure data sharing in public clouds,0,"Seo, Seung-Hyun and Nabeel, Mohamed and Ding, Xiaoyu and Bertino, Elisa",2107--2119,2014,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",9,26
696,Auth-SL-a system for the specification and enforcement of quality-based authentication policies,Information and Communications Security,"Squicciarini, Anna C and Bhargav-Spantzel, Abhilasha and Bertino, Elisa and Czeksis, Alexei B",386--397,2007,0,incollection,Springer Berlin Heidelberg,0,0,
697,Private updates to anonymous databases,"Data Engineering, 2006. ICDE'06. Proceedings of the 22nd International Conference on","Trombetta, Alberto and Bertino, Elisa",116--116,2006,IEEE,inproceedings,0,0,0,
698,Elimination of subjectivity from trust recommendation,Trust Management III,"Hasan, Omar and Brunie, Lionel and Pierson, Jean-Marc and Bertino, Elisa",65--80,2009,0,incollection,Springer Berlin Heidelberg,0,0,
699,The effects of two-phase locking on the performance of a distributed database management system,0,"Thanos, Costantino and Bertino, Elisa and Carlesi, Carlo",129--157,1988,0,article,Elsevier,Performance Evaluation,2,8
700,Position transformation: a location privacy protection method for moving objects,Proceedings of the SIGSPATIAL ACM GIS 2008 International Workshop on Security and Privacy in GIS and LBS,"Lin, Dan and Bertino, Elisa and Cheng, Reynold and Prabhakar, Sunil",62--71,2008,ACM,inproceedings,0,0,0,
701,Handling expiration of multigranular temporal objects,0,"Camossi, Elena and Bertino, Elisa and Mesiti, Marco and Guerrini, Giovanna",23--50,2004,0,article,Oxford Univ Press,Journal of Logic and Computation,1,14
702,Securing dbms: characterizing and detecting query floods,Information Security,"Bertino, Elisa and Leggieri, Teodoro and Terzi, Evimaria",195--206,2004,0,incollection,Springer Berlin Heidelberg,0,0,
703,Location-based access control systems for mobile users: concepts and research directions,Proceedings of the 4th ACM SIGSPATIAL International Workshop on Security and Privacy in GIS and LBS,"Bertino, Elisa and Kirkpatrick, Michael S",49--52,2011,ACM,inproceedings,0,0,0,
704,Max: An access control system for digital libraries and the web,"Computer Software and Applications Conference, 2002. COMPSAC 2002. Proceedings. 26th Annual International","Bertino, Elisa and Ferrari, Elena and Perego, Andrea",945--950,2002,IEEE,inproceedings,0,0,0,
705,Supporting delegation in secure workflow management systems,Data and Applications Security XVII,"Atluri, Vijayalakshmi and Bertino, Elisa and Ferrari, Elena and Mazzoleni, Pietro",190--202,2004,0,incollection,Springer US,0,0,
706,An object-relational approach to the representation of multi-granular spatio-temporal data,Advanced Information Systems Engineering,"Bertino, Elisa and Cuadra, Dolores and Mart{\'\i}nez, Paloma",119--134,2005,0,incollection,Springer Berlin Heidelberg,0,0,
707,Secure data aggregation technique for wireless sensor networks in the presence of collusion attacks,0,"Rezvani, Mohsen and Ignjatovic, Aleksandar and Bertino, Elisa and Jha, Somesh",98--110,2015,0,article,IEEE,"Dependable and Secure Computing, IEEE Transactions on",1,12
708,Towards a fine-grained access control model and mechanisms for semantic databases,"Web Services, 2007. ICWS 2007. IEEE International Conference on","Franzoni, Stefano and Mazzoleni, Pietro and Valtolina, Stefano and Bertino, Elisa",993--1000,2007,IEEE,inproceedings,0,0,0,
709,Systematic control and management of data integrity,Proceedings of the eleventh ACM symposium on Access control models and technologies,"Byun, Ji-Won and Sohn, Yonglak and Bertino, Elisa",101--110,2006,ACM,inproceedings,0,0,0,
710,Private searching for single and conjunctive keywords on streaming data,Proceedings of the 10th annual ACM workshop on Privacy in the electronic society,"Yi, Xun and Bertino, Elisa",153--158,2011,ACM,inproceedings,0,0,0,
711,Correctness of semantic integrity checking in database management systems,0,"Bertino, Elisa and Musto, Daniela",25--57,1988,0,article,Springer-Verlag,Acta Informatica,02-Jan,26
712,Using automated individual white-list to protect web digital identities,0,"Han, Weili and Cao, Ye and Bertino, Elisa and Yong, Jianming",11861--11869,2012,0,article,Pergamon,Expert Systems with Applications,15,39
713,FENCE: Continuous access control enforcement in dynamic data stream environments,Proceedings of the third ACM conference on Data and application security and privacy,"Nehme, Rimma V and Lim, Hyo-Sang and Bertino, Elisa",243--254,2013,ACM,inproceedings,0,0,0,
714,Privacy-preserving similarity measurement for access control policies,Proceedings of the 6th ACM workshop on Digital identity management,"Cho, Eun and Ghinita, Gabriel and Bertino, Elisa",3--12,2010,ACM,inproceedings,0,0,0,
715,A characterization of the problem of secure provenance management,"Intelligence and Security Informatics, 2009. ISI'09. IEEE International Conference on","Xu, Shouhuai and Ni, Qun and Bertino, Elisa and Sandhu, Ravi",310--314,2009,IEEE,inproceedings,0,0,0,
716,Optimization of object-oriented queries using path indices,"Research Issues on Data Engineering, 1992: Transaction and Query Processing, Second International Workshop on","Bertino, Elisa and Guglielmina, Claudia",140--149,1992,IEEE,inproceedings,0,0,0,
717,Workflow authorisation in mediator-free environments,0,"Shehab, Mohamed and Bertino, Elisa and Ghafoor, Arif",2--12,2006,0,article,Inderscience Publishers,International Journal of Security and Networks,02-Jan,1
718,Spatial domains for the administration of location-based access control policies,0,"Damiani, Maria Luisa and Bertino, Elisa and Silvestri, Claudio",277--302,2008,0,article,Springer US,Journal of Network and Systems Management,3,16
719,"Degrees of isolation, concurrency control protocols, and commit protocols",Proceedings of the IFIP WG11. 3 Working Conference on Database Security VII,"Atluri, Vijayalakshmi and Bertino, Elisa and Jajodia, Sushil",259--274,1994,North-Holland Publishing Co.,inproceedings,0,0,0,
720,An object-oriented data model for distributed office applications,ACM SIGOIS Bulletin,"Bertino, Elisa and Negri, M and Pelagatti, G and Sbattella, L",216--226,1990,ACM,inproceedings,0,0,03-Feb,11
721,Group-based negotiations in p2p systems,0,"Squicciarini, Anna C and Paci, Federica and Bertino, Elisa and Trombetta, Alberto and Braghin, Stefano",1473--1486,2010,0,article,IEEE,"Parallel and Distributed Systems, IEEE Transactions on",10,21
722,Policy monitoring with user-preferences in PDL,0,"Bertino, Elisa and Mileo, Alessandra and Provetti, Alessandro",37--44,2003,0,article,Citeseer,"Proceedings of IJCAI-03 Workshop for Nonmonotonic Reasoning, Action and Change",0,
723,Alternative correctness criteria for concurrent execution of transactions in multilevel secure databases,0,"Atluri, Vijayalakshmi and Jajodia, Sushil and Bertino, Elisa",839--854,1996,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",5,8
724,Security in SOA and web services,"Services Computing, 2006. SCC'06. IEEE International Conference on","Bertino, Elisa and Martino, Lorenzo",xli--xli,2006,IEEE,inproceedings,0,0,0,
725,Privacy requirements in identity management solutions,Human Interface and the Management of Information. Interacting in Information Environments,"Bhargav-Spantzel, Abhilasha and Squicciarini, Anna C and Young, Matthew and Bertino, Elisa",694--702,2007,0,incollection,Springer Berlin Heidelberg,0,0,
726,Extended RBAC with role attributes,0,"Yong, Jianming and Bertino, Elisa and Roberts, Mark Toleman Dave",8,2006,0,article,0,PACIS 2006 Proceedings,0,
727,Merkle tree authentication in UDDI registries,0,"Bertino, Elisa and Carminati, Barbara and Ferrari, Elena",37--57,2004,0,article,0,Int. J. Web Service Res.,2,1
728,"CONCERTO, an environment for the “intelligent’indexing, querying and retrieval of digital documents",Foundations of Intelligent Systems,"Zarri, Gian Piero and Bertino, Elisa and Black, Bill and Brasher, Andrew and Catania, Barbara and Deavin, Diana and Di Pace, Liugi and Esposito, Floriana and Leo, Pietro and McNaught, John and others",226--234,1999,0,incollection,Springer Berlin Heidelberg,0,0,
729,Clustering techniques in object bases: a survey,0,"Bertino, Elisa and Saad, Amani A and Ismail, Mohamed A.",255--275,1994,0,article,Elsevier,Data \& knowledge engineering,3,12
730,Access control policy analysis and visualization tools for security professionals,0,"Vaniea, Kami and Ni, Qun and Cranor, Lorrie and Bertino, Elisa",0,2008,0,article,0,Proceedings of the 4th Symposium on Usable Privacy and Security (SOUPS'08),0,
731,Privacy-preserving enforcement of spatially aware RBAC,0,"Kirkpatrick, Michael S and Ghinita, Gabriel and Bertino, Elisa",627--640,2012,0,article,IEEE,"Dependable and Secure Computing, IEEE Transactions on",5,9
732,Querying multiple temporal granularity data,"Temporal Representation and Reasoning, 2000. TIME 2000. Proceedings. Seventh International Workshop on","Merlo, Isabella and Bertino, Elisa and Ferrari, Elena and Gadia, Shashi and Guerrini, Giovanna",103--114,2000,IEEE,inproceedings,0,0,0,
733,A Bottom-Up Interpreter for a Database Language with Updates and Transactions.,GULP-PRODE (2),"Bertino, Elisa and Catania, Barbara and Guerrini, Giovanna and Martelli, Maurizio and Montesi, Danilo",206--220,1994,0,inproceedings,0,0,0,
734,Specification and enforcement of flexible security policy for active cooperation,0,"Sun, Yuqing and Gong, Bin and Meng, Xiangxu and Lin, Zongkai and Bertino, Elisa",2629--2642,2009,0,article,Elsevier,Information Sciences,15,179
735,A comprehensive simulation tool for the analysis of password policies,0,"Shay, Richard and Bertino, Elisa",275--289,2009,0,article,Springer-Verlag,International Journal of Information Security,4,8
736,Single-database private information retrieval from fully homomorphic encryption,0,"Yi, Xun and Kaosar, Mohammed Golam and Paulet, Russell and Bertino, Elisa",1125--1134,2013,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",5,25
737,A framework for contractual resource sharing in coalitions,"Policies for Distributed Systems and Networks, 2004. POLICY 2004. Proceedings. Fifth IEEE International Workshop on","Firozabadi, Babak Sadighi and Sergot, Marek and Squicciarin, A and Bertino, Elisa",117--126,2004,IEEE,inproceedings,0,0,0,
738,Protecting location privacy through semantics-aware obfuscation techniques,Trust Management II,"Damiani, Maria Luisa and Bertino, Elisa and Silvestri, Claudio",231--245,2008,0,incollection,Springer US,0,0,
739,Measuring the structural similarity among XML documents and DTDs,0,"Bertino, Elisa and Guerrini, Giovanna and Mesiti, Marco and Rivara, I and others",0,2001,0,article,Citeseer,0,0,
740,Issues on modeling spatial granularities,0,"Camossi, Elena and Bertolotto, Michela and Bertino, Elisa and Guerrini, Giovanna",0,2003,0,article,0,COSIT,0,
741,Threat modelling for SQL Servers,Communications and Multimedia Security,"Bertino, E and Bruschi, D and Franzoni, S and Nai-Fovino, I and Valtolina, S",159--171,2005,0,incollection,Springer US,0,0,
742,"Access control, confidentiality and privacy for video surveillance databases",Proceedings of the eleventh ACM symposium on Access control models and technologies,"Thuraisingham, Bhavani and Lavee, Gal and Bertino, Elisa and Fan, Jianping and Khan, Latifur",1--10,2006,ACM,inproceedings,0,0,0,
743,Viewpoints in object database systems,Joint proceedings of the second international software architecture workshop (ISAW-2) and international workshop on multiple perspectives in software development (Viewpoints' 96) on SIGSOFT'96 workshops,"Bertino, Elisa and Guerrini, Giovanna",289--293,1996,ACM,inproceedings,0,0,0,
744,Reputation management in crowdsourcing systems,"Collaborative Computing: Networking, Applications and Worksharing (CollaborateCom), 2012 8th International Conference on","Allahbakhsh, Mohammad and Ignjatovic, Aleksandar and Benatallah, Boualem and Beheshti, Soosan and Bertino, Elisa and Foo, Norman",664--671,2012,IEEE,inproceedings,0,0,0,
745,Publishing time-series data under preservation of privacy and distance orders,Database and Expert Systems Applications,"Moon, Yang-Sae and Kim, Hea-Suk and Kim, Sang-Pil and Bertino, Elisa",17--31,2010,0,incollection,Springer Berlin Heidelberg,0,0,
746,An interoperable approach to multifactor identity verification,0,"Paci, Federica and Ferrini, Rodolfo and Musci, Andrea and Steuer Jr, Kevin and Bertino, Elisa",50--57,2009,0,article,IEEE,Computer,5,
747,Tagging stream data for rich real-time services,0,"Nehme, Rimma V and Rundensteiner, Elke A and Bertino, Elisa",73--84,2009,0,article,VLDB Endowment,Proceedings of the VLDB Endowment,1,2
748,Role based access control models,0,"Bellettini, Carlo and Bertino, Elisa and Ferrari, Elena",21--29,2001,0,article,Elsevier Advanced Technology,Information Security Technical Report,2,6
749,Towards optimal two-dimensional indexing for constraint databases,0,"Bertino, Elisa and Catania, Barbara and Shidlovsky, Boris",1--8,1997,0,article,Elsevier,Information Processing Letters,1,64
750,ARUBA: A risk-utility-based algorithm for data disclosure,Secure Data Management,"Fouad, Mohamed R and Lebanon, Guy and Bertino, Elisa",32--49,2008,0,incollection,Springer Berlin Heidelberg,0,0,
751,Content-based filtering of Web documents: The MaX system and the EUFORBIA project,0,"Bertino, Elisa and Ferrari, Elena and Perego, Andrea",45--58,2003,0,article,Springer-Verlag,International Journal of Information Security,1,2
752,Navigational accesses in a temporal object model,0,"Bertino, Elisa and Ferrari, Eiena and Guerrini, Giovanna",656--665,1998,0,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",4,10
