id,label,left_id,left_title,left_authors,left_venue,left_year,right_id,right_title,right_authors,right_venue,right_year
5903,0,1279,on the costs of multilingualism in database systems,"a. kumaran , jayant r. haritsa",vldb,2003,755,mpeg-7 and multimedia database systems,harald kosch,acm sigmod record,2002
5904,0,1685,implementing lazy database updates for an object database system,"fabrizio ferrandina , thorsten meyer , roberto zicari",vldb,1994,1052,the design and implementation of a sequence database system,"praveen seshadri , miron livny , raghu ramakrishnan",very large data bases,1996
5905,0,1491,declarative updates of relational databases,weidong chen,acm trans . database syst .,1995,1046,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",very large data bases,1996
5906,1,2270,visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995,1527,visdb : a system for visualizing large databases,"daniel a. keim , hans-peter kriegel",international conference on management of data,1995
5907,0,131,reminiscences an influential papers,"jeffrey f. naughton , minos n. garofalakis , kenneth a. ross",sigmod record,2003,527,reminiscences on influential papers,"kenneth a. ross , theodore johnson , richard thomas snodgrass",acm sigmod record,2002
5908,0,1951,champagne : data change propagation for heterogeneous information systems,"holger meinecke , uwe heinkel , ralf rantzau , carmen constantinescu",vldb,2002,1138,querying heterogeneous information sources using source descriptions,"alon y. levy , anand rajaraman , joann j. ordille",very large data bases,1996
5909,0,1102,relaxed transaction processing,"darrell woelk , munindar p. singh , christine tomlinson",sigmod conference,1994,1829,secure transaction processing in firm real-time database systems,"binto george , jayant haritsa",international conference on management of data,1997
5910,0,153,including group-by in query optimization,"surajit chaudhuri , kyuseok shim",vldb,1994,207,query optimization for selections using bitmaps,ming-chuan wu,international conference on management of data,1999
5911,1,1686,aurora : a new model and architecture for data stream management,"christian convey , sangdon lee , ugur çetintemel , daniel j. abadi , michael stonebraker , mitch cherniack , donald carney , stanley b. zdonik , nesime tatbul",vldb j.,2003,2268,aurora : a new model and architecture for data stream management,"daniel j. abadi , don carney , ugur &#199; etintemel , mitch cherniack , christian convey , sangdon lee , michael stonebraker , nesime tatbul , stan zdonik",the vldb journal -- the international journal on very large data bases,2003
5912,1,439,optimizing jan jannink 's implementation of b + - tree deletion,"h. olivie , r. maelbrancke",sigmod record,1995,1574,optimizing jan jannink 's implementation of b + - tree deletion,"r. maelbrancke , h. olivi &#233;",acm sigmod record,1995
5913,0,2257,industry perspectives,leonard j. seligman,sigmod record,1997,520,industry perspectives,len seligman,acm sigmod record,2002
5914,0,598,krdb ' 98 : the 5th international workshop on knowledge representation meets databases,"alexander borgida , martin staudt , vinay k. chaudhri",sigmod record,1998,382,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),"mikael berndtsson , j &#246; rgen hansson",acm sigmod record,1996
5915,1,626,gigascope : high performance network monitoring with an sql interface,"yuan gao , theodore johnson , charles d. cranor , vladislav shkapenyuk , oliver spatscheck",sigmod conference,2002,710,gigascope : high performance network monitoring with an sql interface,"chuck cranor , yuan gao , theodore johnson , vlaidslav shkapenyuk , oliver spatscheck",international conference on management of data,2002
5916,0,2369,selectivity estimation in spatial databases,"viswanath poosala , sridhar ramaswamy , swarup acharya",sigmod conference,1999,110,distance browsing in spatial databases,"g &#237; sli r. hjaltason , hanan samet",acm transactions on database systems ( tods ),1999
5917,0,1254,the oracle warehouse,gary hallmark,vldb,1995,399,internet traffic warehouse,"chung-min chen , munir cochinwala , claudio petrone , marc pucci , sunil samtani , patrizia santa",international conference on management of data,2000
5918,0,0,semantic integration of environmental models for application to global information systems and decision-making,d. scott mackay,sigmod record,1999,1909,environmental information systems,oliver g &#252; nther,acm sigmod record,1997
5919,0,1829,efficiently instantiating view-objects from remote relational databases,"gio wiederhold , byung suk lee",vldb j.,1994,1784,efficiently mining long patterns from databases,"roberto j. bayardo , jr.",international conference on management of data,1998
5920,1,302,spatio-temporal retrieval with rasdaman,"peter baumann , norbert widmann , roland ritsch , paula furtado , andreas dehmel",vldb,1999,820,spatio-temporal retrieval with rasdaman,"peter baumann , andreas dehmel , paula furtado , roland ritsch , norbert widmann",very large data bases,1999
5921,0,689,chair 's message,m. tamer özsu,sigmod record,2003,542,treasurer 's message,joachim hammer,acm sigmod record,2002
5922,0,1835,wavelet-based histograms for selectivity estimation,"jeffrey scott vitter , yossi matias , min wang",sigmod conference,1998,220,selectivity estimation in spatial databases,"swarup acharya , viswanath poosala , sridhar ramaswamy",international conference on management of data,1999
5923,0,2302,a logical foundation for deductive object-oriented databases,"mengchi liu , tok wang ling , gillian dobbie",acm trans . database syst .,2002,1035,optimizing queries with universal quantification in object-oriented and object-relational databases,"jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",very large data bases,1997
5924,0,1690,partial results for online query processing,"joseph m. hellerstein , vijayshankar raman",sigmod conference,2002,199,query processing techniques for arrays,"arunprasad p. marathe , kenneth salem",international conference on management of data,1999
5925,0,1459,a taxonomy for secure object-oriented databases,"sebastiaan h. von solms , martin s. olivier",acm trans . database syst .,1994,1631,odmg-93 : a standard for object-oriented dbmss,r. g. g. cattell,international conference on management of data,1994
5926,0,1753,an introduction to spatial database systems,ralf hartmut güting,vldb j.,1994,755,mpeg-7 and multimedia database systems,harald kosch,acm sigmod record,2002
5927,0,1169,query processing and optimization in oracle rdb,"gennady antoshenkov , mohamed ziauddin",vldb j.,1996,1883,outerjoin simplification and reordering for query optimization,"c &#233; sar galindo-legaria , arnon rosenthal",acm transactions on database systems ( tods ),1997
5928,0,2595,a foundation for multi-dimensional databases,"laks v. s. lakshmanan , marc gyssens",vldb,1997,1046,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",very large data bases,1996
5929,0,1317,efficient algorithms for mining outliers from large data sets,"kyuseok shim , sridhar ramaswamy , rajeev rastogi",sigmod conference,2000,1147,efficient snapshot differential algorithms for data warehousing,"wilburt labio , hector garcia-molina",very large data bases,1996
5930,0,1756,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002,723,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002
5931,0,314,view management in multimedia databases,"v. s. subrahmanian , eric lemar , k. selçuk candan",vldb j.,2000,1692,metadata for multimedia documents,"klemens b &#246; hm , thomas c. rakow",acm sigmod record,1994
5932,0,70,expiring data in a warehouse,"wilburt labio , jun yang , hector garcia-molina",vldb,1998,1020,incremental clustering for mining in a data warehousing environment,"martin ester , hans-peter kriegel , j &#246; rg sander , michael wimmer , xiaowei xu",very large data bases,1998
5933,0,1409,congressional samples for approximate answering of group-by queries,"viswanath poosala , swarup acharya , phillip b. gibbons",sigmod conference,2000,195,join synopses for approximate query answering,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",international conference on management of data,1999
5934,0,570,cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications,"wang-pin hsiung , kunihiro taniguchi , yusuf akca , oliver po , wen-syan li , divyakant agrawal , k. selçuk candan",vldb,2003,1417,cache portal : technology for accelerating database-driven e-commerce web sites,"wen-syan li , k. sel &#231; uk candan , wang-pin hsiung , oliver po , divyakant agrawal , qiong luo , wei-kuang waine huang , yusuf akca , cemal yilmaz",very large data bases,2001
5935,0,2128,rainbow : multi-xquery optimization using materialized xml views,"brian murphy , elke a. rundensteiner , bradford pielech , maged el-sayed , mukesh mulchandani , luping ding , katica dimitrova , ling wang , xin zhang",sigmod conference,2003,317,"optimizing queries using materialized views : a practical , scalable solution","jonathan goldstein , per - &#197; ke larson",international conference on management of data,2001
5936,1,2383,experiences in federated databases : from iro-db to miro-web,"anthony tomasic , peter fankhauser , j. muñoz , m. lopez , georges gardarin",vldb,1998,1071,experiences in federated databases : from iro-db to miro-web,"peter fankhauser , georges gardarin , m. lopez , j. mu &#241; oz , anthony tomasic",very large data bases,1998
5937,1,2467,acdn : a content delivery network for applications,"michael rabinovich , pradnya karbhari , fred douglis , zhen xiao",sigmod conference,2002,714,acdn : a content delivery network for applications,"pradnya karbhari , michael rabinovich , zhen xiao , fred douglis",international conference on management of data,2002
5938,0,1098,storing and querying ordered xml using a relational database system,"kevin s. beyer , jayavel shanmugasundaram , chun zhang , igor tatarinov , stratis viglas , eugene j. shekita",sigmod conference,2002,569,a general technique for querying xml documents using a relational database system,"jayavel shanmugasundaram , eugene shekita , jerry kiernan , rajasekar krishnamurthy , efstratios viglas , jeffrey naughton , igor tatarinov",acm sigmod record,2001
5939,0,3,cost-based selection of path expression processing algorithms in object-oriented databases,"zhao-hui tang , georges gardarin , jean-robert gruser",vldb,1996,1976,structures for manipulating proposed updates in object-oriented databases,"michael doherty , richard hull , mohammed rupawalla",international conference on management of data,1996
5940,0,2315,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,382,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),"mikael berndtsson , j &#246; rgen hansson",acm sigmod record,1996
5941,0,2559,privacy-enhanced data management for next-generation e-commerce,"irini fundulaki , daniel f. lieuwen , bharat kumar , richard hull , chris clifton , arnaud sahuguet",vldb,2003,664,business data management for business-to-business electronic commerce,"christoph quix , mareike schoop , manfred jeusfeld",acm sigmod record,2002
5942,0,269,integration of spatial join algorithms for processing multiple inputs,"nikos mamoulis , dimitris papadias",sigmod conference,1999,1723,multi-step processing of spatial joins,"thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger",international conference on management of data,1994
5943,0,2022,the aqua approximate query answering system,"sridhar ramaswamy , swarup acharya , phillip b. gibbons , viswanath poosala",sigmod conference,1999,889,approximate query processing using wavelets,"kaushik chakrabarti , minos n. garofalakis , rajeev rastogi , kyuseok shim",very large data bases,2000
5944,0,2359,report on ngits ' 99 : the 4th international workshop on next generation information technologies and systems,opher etzion,sigmod record,1999,238,report on the 5th international workshop on knowledge representation meets databases ( krdb ' 98 ),"alex borgida , vinay k. chaudhri , martin staudt",acm sigmod record,1998
5945,0,162,temporal database system implementations,michael h. böhlen,sigmod record,1995,1318,vxmlr : a visual xml-relational database system,"aoying zhou , hongjun lu , shihui zheng , yuqi liang , long zhang , wenyun ji , zengping tian",very large data bases,2001
5946,1,2032,"fast similarity search in the presence of noise , scaling , and translation in time-series databases","king-ip lin , harpreet s. sawhney , rakesh agrawal , kyuseok shim",vldb,1995,1451,"fast similarity search in the presence of noise , scaling , and translation in time-series databases","rakesh agrawal , king-ip lin , harpreet s. sawhney , kyuseok shim",very large data bases,1995
5947,0,1256,evolution of groupware for business applications : a database perspective on lotus domino/notes,"c. mohan , s. watts , ron barber , amit somani , markos zaharioudakis",vldb,2000,39,a database perspective on lotus domino/notes,c. mohan,international conference on management of data,1999
5948,0,1771,watermarking relational databases,"rakesh agrawal , jerry kiernan",vldb,2002,1463,accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",very large data bases,1995
5949,0,1821,caching technologies for web applications,c. mohan,vldb,2001,762,tutorial : application servers and associated technologies,c. mohan,international conference on management of data,2002
5950,0,2294,integrating mining with relational database systems : alternatives and implications,"shiby thomas , rakesh agrawal , sunita sarawagi",sigmod conference,1998,1040,integrating triggers and declarative constraints in sql database sytems,"roberta cochrane , hamid pirahesh , nelson mendon &#231; a mattos",very large data bases,1996
5951,0,924,user-adaptive exploration of multidimensional data,sunita sarawagi,vldb,2000,1884,"olap , relational , and multidimensional database systems",george colliat,acm sigmod record,1996
5952,0,1583,a system for keyword proximity search on xml databases,"tianqiu wang , yannis papakonstantinou , nick koudas , vagelis hristidis , andrey balmin , divesh srivastava",vldb,2003,2019,a system for watermarking relational databases,"rakesh agrawal , peter j. haas , jerry kiernan",international conference on management of data,2003
5953,0,209,guest editorial,"vijay atluri , anupam joshi , yelena yesha",vldb j.,2003,1239,guest editorial,alon y. halevy,the vldb journal -- the international journal on very large data bases,2002
5954,0,2308,approximate query processing using wavelets,"kyuseok shim , kaushik chakrabarti , minos n. garofalakis , rajeev rastogi",vldb,2000,2106,approximate query mapping : accounting for translation closeness,"kevin chen-chuan chang , h &#233; ctor garc &#237; a-molina",the vldb journal -- the international journal on very large data bases,2001
5955,1,1005,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,"michel schneider , jérôme darmont",vldb,1999,795,voodb : a generic discrete-event random simulation model to evaluate the performances of oodbs,"j &#233; r &#244; me darmont , michel schneider",very large data bases,1999
5956,1,115,"a distributed scientific data archive using the web , xml and sql/med","alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani",sigmod record,1999,91,"a distributed scientific data archive using the web , xml and sql/med","mark papiani , jasmin l. wason , alistair n. dunlop , denis a. nicole",acm sigmod record,1999
5957,0,142,catching the boat with strudel : experiences with a web-site management system,"jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",sigmod conference,1998,1866,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,1997
5958,1,1452,book review column,karl aberer,sigmod record,2003,2125,book review column,karl aberer,acm sigmod record,2003
5959,0,1576,cost estimation of user-defined methods in object-relational database systems,"kinji ono , jihad boulos",sigmod record,1999,1179,enhanced abstract data types in object-relational databases,praveen seshadri,the vldb journal -- the international journal on very large data bases,1998
5960,0,736,warehousing workflow data : challenges and opportunities,"umeshwar dayal , ming-chien shan , angela bonifati , fabio casati",vldb,2001,869,the challenge of process data warehousing,"matthias jarke , thomas list , j &#246; rg k &#246; ller",very large data bases,2000
5961,1,1910,adapting materialized views after redefinitions,"ashish gupta , inderpal singh mumick , kenneth a. ross",sigmod conference,1995,1516,adapting materialized views after redefinitions,"ashish gupta , inderpal s. mumick , kenneth a. ross",international conference on management of data,1995
5962,0,838,parallel database systems 101,jim gray,sigmod conference,1995,1160,data placement in shared-nothing parallel database systems,"manish mehta , david j. dewitt",the vldb journal -- the international journal on very large data bases,1997
5963,0,2325,editor 's notes,michael j. franklin,sigmod record,1999,343,editorial,richard snodgrass,acm transactions on database systems ( tods ),2001
5964,0,2497,unisql/x unified relational and object-oriented database system,won kim,sigmod conference,1994,1664,mosaico-a system for conceptual modeling and rapid prototyping of object-oriented database application,"m. missikoff , m. toiati",international conference on management of data,1994
5965,0,1717,distance browsing in spatial databases,"hanan samet , gísli r. hjaltason",acm trans . database syst .,1999,78,closest pair queries in spatial databases,"antonio corral , yannis manolopoulos , yannis theodoridis , michael vassilakopoulos",international conference on management of data,2000
5966,0,1617,versant replication : supporting fault-tolerant object databases,"h. stephen au-yeung , c. p. chou , yuh-ming shyy",sigmod conference,1995,1915,converting relational to object-oriented databases,joseph fong,acm sigmod record,1997
5967,0,1591,keynote address,robert s. epstein,sigmod conference,1995,129,keynote address,larry j. ellison,international conference on management of data,1995
5968,1,616,mv3r-tree : a spatio-temporal access method for timestamp and interval queries,"dimitris papadias , yufei tao",vldb,2001,1348,mv3r-tree : a spatio-temporal access method for timestamp and interval queries,"yufei tao , dimitris papadias",very large data bases,2001
5969,0,1671,the jungle database search engine,"linas bukauskas , curtis e. dyreson , michael h. böhlen",sigmod conference,1999,113,the asilomar report on database research,"phil bernstein , michael brodie , stefano ceri , david dewitt , mike franklin , hector garcia-molina , jim gray , jerry held , joe hellerstein , h. v. jagadish , michael lesk , dave maier , jeff naughton , hamid pirahesh , mike stonebraker , jeff ullman",acm sigmod record,1998
5970,0,147,an algebraic approach to static analysis of active database rules,"jennifer widom , elena baralis",acm trans . database syst .,2000,1557,a structured approach for the definition of the semantics of active databases,"piero fraternali , letizia tanca",acm transactions on database systems ( tods ),1995
5971,0,1228,answering xml queries on heterogeneous data sources,"ioana manolescu , donald kossmann , daniela florescu",vldb,2001,198,mind your vocabulary : query mapping across heterogeneous information sources,"chen-chuan k. chang , h &#233; ctor garc &#237; a-molina",international conference on management of data,1999
5972,0,1450,acm multimedia '94 conference workshop on multimedia database management systems,"p. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu",sigmod record,1995,262,on supporting containment queries in relational database management systems,"chun zhang , jeffrey naughton , david dewitt , qiong luo , guy lohman",international conference on management of data,2001
5973,0,1396,an approach for building secure database federations,"klaus r. dittrich , dirk jonscher",vldb,1994,385,an approximate search engine for structural databases,"jason t. l. wang , xiong wang , dennis shasha , bruce a. shapiro , kaizhong zhang , qicheng ma , zasha weinberg",international conference on management of data,2000
5974,0,924,user-adaptive exploration of multidimensional data,sunita sarawagi,vldb,2000,1001,materialized view selection for multidimensional datasets,"amit shukla , prasad deshpande , jeffrey f. naughton",very large data bases,1998
5975,0,1467,fast incremental maintenance of approximate histograms,"yossi matias , phillip b. gibbons , viswanath poosala",vldb,1997,1145,incremental maintenance of externally materialized views,"martin staudt , matthias jarke",very large data bases,1996
5976,0,373,procedures in object-oriented query languages,"kazimierz subieta , jacek leszczylowski , yahiko kambayashi",vldb,1995,1106,processing object-oriented queries with invertible late bound functions,"staffan flodin , tore risch",very large data bases,1995
5977,0,1951,champagne : data change propagation for heterogeneous information systems,"holger meinecke , uwe heinkel , ralf rantzau , carmen constantinescu",vldb,2002,1531,infoharness : a system for search and retrieval of heterogeneous information,"leon shklar , amit sheth , vipul kashyap , satish thatte",international conference on management of data,1995
5978,0,497,lockx : a system for efficiently querying secure xml,"sungran cho , laks v. s. lakshmanan , divesh srivastava , sihem amer-yahia",sigmod conference,2003,1819,the strip rule system for efficiently maintaining derived data,"brad adelberg , hector garcia-molina , jennifer widom",international conference on management of data,1997
5979,0,731,selectivity estimation using probabilistic models,"daphne koller , lise getoor , benjamin taskar",sigmod conference,2001,1075,using probabilistic information in data integration,"daniela florescu , daphne koller , alon y. levy",very large data bases,1997
5980,0,1230,lopix : a system for xml data integration and manipulation,wolfgang may,vldb,2001,1894,the aggregate data problem : a system for their definition and management,"m. rafanelli , a. bezenchek , l. tininini",acm sigmod record,1996
5981,1,468,chain : operator scheduling for memory minimization in data stream systems,"brian babcock , shivnath babu , rajeev motwani , mayur datar",sigmod conference,2003,2038,chain : operator scheduling for memory minimization in data stream systems,"brian babcock , shivnath babu , rajeev motwani , mayur datar",international conference on management of data,2003
5982,0,1817,investigating xquery for querying across database object types,nancy wiegand,sigmod record,2002,2083,information sharing across private databases,"rakesh agrawal , alexandre evfimievski , ramakrishnan srikant",international conference on management of data,2003
5983,0,394,efficient materialization and use of views in data warehouses,"márcio farias de souza , marcus costa sampaio",sigmod record,1999,1768,materialized views and data warehouses,nick roussopoulos,acm sigmod record,1998
5984,0,2341,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",vldb,1996,1217,optimizing multiple dimensional queries simultaneously in multidimensional databases,"weifa liang , maria e. orlowska , jeffrey x. yu",the vldb journal -- the international journal on very large data bases,2000
5985,0,1369,call for book reviews,karl aberer,sigmod record,2003,513,book review column,karl aberer,acm sigmod record,2002
5986,0,1850,efficient and effective clustering methods for spatial data mining,"raymond t. ng , jiawei han",vldb,1994,68,density biased sampling : an improved method for data mining and clustering,"christopher r. palmer , christos faloutsos",international conference on management of data,2000
5987,1,2357,a multi-similarity algebra,"v. s. subrahmanian , sibel adali , maria luisa sapino , piero a. bonatti",sigmod conference,1998,188,a multi-similarity algebra,"s. adali , p. bonatti , m. l. sapino , v. s. subrahmanian",international conference on management of data,1998
5988,0,934,reminiscences on influential papers,richard t. snodgrass,sigmod record,1998,226,reminiscences on influential papers,richard snodgrass,acm sigmod record,1998
5989,1,2249,association rules over interval data,"renée j. miller , yuping yang",sigmod conference,1997,1828,association rules over interval data,"r. j. miller , y. yang",international conference on management of data,1997
5990,0,605,falcon : feedback adaptive loop for content-based retrieval,"christos faloutsos , leejay wu , katia p. sycara , terry r. payne",vldb,2000,2056,qcluster : relevance feedback using adaptive clustering for content-based image retrieval,"deok-hwan kim , chin-wan chung",international conference on management of data,2003
5991,0,2224,lore : a database management system for semistructured data,"roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh",sigmod record,1997,1697,constructing the next 100 database management systems : like the handyman or like the engineer ?,"andreas geppert , klaus r. dittrich",acm sigmod record,1994
5992,0,2008,description logics for semantic query optimization in object-oriented database systems,"claudio sartori , sonia bergamaschi , domenico beneventano",acm trans . database syst .,2003,1254,opt + + : an object-oriented implementation for extensible database query optimization,"navin kabra , david j. dewitt",the vldb journal -- the international journal on very large data bases,1999
5993,0,2578,data warehousing and olap for decision support ( tutorial ),"surajit chaudhuri , umeshwar dayal",sigmod conference,1997,742,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),joachim hammer,acm sigmod record,2002
5994,0,1187,relational databases for querying xml documents : limitations and opportunities,"jeffrey f. naughton , kristin tufte , chun zhang , gang he , david j. dewitt , jayavel shanmugasundaram",vldb,1999,1035,optimizing queries with universal quantification in object-oriented and object-relational databases,"jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",very large data bases,1997
5995,0,633,continuously adaptive continuous queries over streams,"samuel madden , mehul a. shah , vijayshankar raman , joseph m. hellerstein",sigmod conference,2002,548,continuous queries over data streams,"shivnath babu , jennifer widom",acm sigmod record,2001
5996,0,287,converting relational to object-oriented databases,joseph fong,sigmod record,1997,1159,exact : an extensible approach to active object-oriented databases,"oscar d &#237; az , arturo jaime",the vldb journal -- the international journal on very large data bases,1997
5997,0,1458,highly concurrent cache consistency for indices in client-server database systems,"michael j. carey , markos zaharioudakis",sigmod conference,1997,1473,efficient incremental garbage collection for client-server object database systems,"laurent amsaleg , michael j. franklin , olivier gruber",very large data bases,1995
5998,0,501,fast algorithms for universal quantification in large databases,"goetz graefe , richard l. cole",acm trans . database syst .,1995,1471,an efficient algorithm for mining association rules in large databases,"ashoka savasere , edward omiecinski , shamkant b. navathe",very large data bases,1995
5999,1,293,towards a database body of knowledge : a study from spain,"mario piattini , francisco ruiz , coral calero",sigmod record,2003,2127,towards a database body of knowledge : a study from spain,"coral calero , mario piattini , francisco ruiz",acm sigmod record,2003
6000,0,381,the prototype of the dare system,"tiziana catarci , giuseppe santucci",sigmod conference,2001,1939,the ecrc multi database system,"willem jonker , heribert sch &#252; tz",international conference on management of data,1995
6001,1,328,m-tree : an efficient access method for similarity search in metric spaces,"paolo ciaccia , pavel zezula , marco patella",vldb,1997,955,m-tree : an efficient access method for similarity search in metric spaces,"paolo ciaccia , marco patella , pavel zezula",very large data bases,1997
6002,1,307,"very large databases : how large , how different ?",david vaskevitch,vldb,1995,2161,"very large databases : how large , how different ?",david vaskevitch,very large data bases,1995
6003,0,185,state of the art in workflow management research and products,c. mohan,sigmod conference,1996,109,specification and implementation of exceptions in workflow management systems,"fabio casati , stefano ceri , stefano paraboschi , guiseppe pozzi",acm transactions on database systems ( tods ),1999
6004,0,542,optimizing queries with universal quantification in object-oriented and object-relational databases,"guido moerkotte , jens claußen , klaus peithner , alfons kemper",vldb,1997,1976,structures for manipulating proposed updates in object-oriented databases,"michael doherty , richard hull , mohammed rupawalla",international conference on management of data,1996
6005,0,1815,integrating heterogenous overlapping databases through object-oriented transformations,"tore risch , vanja josifovski",vldb,1999,1463,accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",very large data bases,1995
6006,0,1852,a scalable architecture for autonomous heterogeneous database interactions,"athman bouguettaya , steven milliner , mike p. papazoglou",vldb,1995,816,a scalable and highly available networked database architecture,"roger bamford , rafiul ahad , angelo pruscino",very large data bases,1999
6007,0,713,approximate query processing : taming the terabytes,"minos n. garofalakis , phillip b. gibbons",vldb,2001,365,online query processing : a tutorial,"peter j. haas , joseph m. hellerstein",international conference on management of data,2001
6008,0,658,fibonacci : a programming language for object databases,"antonio albano , renzo orsini , giorgio ghelli",vldb j.,1995,1163,a database model for object dynamics,"m. p. papazoglou , b. j. kr &#228; mer",the vldb journal -- the international journal on very large data bases,1997
6009,1,1008,"gangam - a solution to support multiple data models , their mappings and maintenance","elke a. rundensteiner , gail mitchell , wang-chien lee , harumi a. kuno , xin zhang , hong su , kajal t. claypool",sigmod conference,2001,282,"sangam - a solution to support multiple data models , their mappings and maintenance","kajal t. claypool , elke a. rundensteiner , xin zhang , su hong , harumi kuno , wang-chien lee , gail mitchell",international conference on management of data,2001
6010,0,2571,analysis of locking behavior in three real database systems,"alan jay smith , vigyan singhal",vldb j.,1997,1651,static analysis techniques for predicting the behavior of active database rules,"alexander aiken , joseph m. hellerstein , jennifer widom",acm transactions on database systems ( tods ),1995
6011,0,123,"aquery : query language for ordered data , optimization techniques , and experiments","alberto lerner , dennis shasha",vldb,2003,1209,algebraic query optimisation for database programming languages,"alexandra poulovassilis , carol small",the vldb journal -- the international journal on very large data bases,1996
6012,0,994,probabilistic optimization of top n queries,"donko donjerkovic , raghu ramakrishnan",vldb,1999,256,minimization of tree pattern queries,"sihem amer-yahia , sungran cho , laks v. s. lakshmanan , divesh srivastava",international conference on management of data,2001
6013,0,1993,aggregate-query processing in data warehousing environments,"venky harinarayan , dallan quass , ashish gupta",vldb,1995,1507,view maintenance in a warehousing environment,"yue zhuge , h &#233; ctor garc &#237; a-molina , joachim hammer , jennifer widom",international conference on management of data,1995
6014,0,1496,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",sigmod conference,1997,377,enhancing external consistency in real-time transactions,"kwei-jay lin , ching-shan peng",acm sigmod record,1996
6015,0,2341,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",vldb,1996,240,dbminer : interactive mining of multiple-level knowledge in relational databases,"jaiwei han , youngjian fu , wei wang , jenny chiang , osmar r. za &#239; ane , krzysztof koperski",international conference on management of data,1996
6016,0,448,report on the first international workshop an efficient web-based information systems,"omar boucelma , zoé lacroix",sigmod record,2003,501,report on second international workshop on advanced issues of e-commerce and web-based information systems,"kun-lung wu , philip s. yu",acm sigmod record,2000
6017,0,287,converting relational to object-oriented databases,joseph fong,sigmod record,1997,1983,static detection of security flaws in object-oriented databases,keishi tajima,international conference on management of data,1996
6018,1,2510,sting : a statistical information grid approach to spatial data mining,"wei wang , richard r. muntz , jiong yang",vldb,1997,1065,sting : a statistical information grid approach to spatial data mining,"wei wang , jiong yang , richard r. muntz",very large data bases,1997
6019,0,903,processing complex aggregate queries over data streams,"alin dobra , johannes gehrke , rajeev rastogi , minos n. garofalakis",sigmod conference,2002,2037,processing set expressions over continuous update streams,"sumit ganguly , minos garofalakis , rajeev rastogi",international conference on management of data,2003
6020,0,368,fast parallel similarity search in multimedia databases,"christian böhm , bernhard braunmüller , hans-peter kriegel , daniel a. keim , stefan berchtold",sigmod conference,1997,368,standard for multimedia databases,john r. smith,international conference on management of data,2001
6021,0,1051,clustering categorical data : an approach based on dynamical systems,"prabhakar raghavan , david gibson , jon m. kleinberg",vldb,1998,2255,the impact of global clustering on spatial database systems,"thomas brinkhoff , hans-peter kriegel",very large data bases,1994
6022,0,392,materialized views and data warehouses,nick roussopoulos,sigmod record,1998,873,automated selection of materialized views and indexes in sql databases,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",very large data bases,2000
6023,0,1141,providing database-like access to the web using queries based on textual similarity,william w. cohen,sigmod conference,1998,1807,integration of heterogeneous databases without common domains using queries based on textual similarity,william w. cohen,international conference on management of data,1998
6024,1,1092,concurrency in the data warehouse,richard taylor,vldb,2000,1356,concurrency in the data warehouse,richard taylor,very large data bases,2000
6025,0,953,accessing relational databases from the world wide web,"tam nguyen , v. srinivasan",sigmod conference,1996,1902,applying database visualization to the world wide web,"masum z. hasan , alberto o. mendelzon , dimitra vista",acm sigmod record,1996
6026,0,522,understanding the global semantics of referential actions using logic rules,"wolfgang may , bertram ludäscher",acm trans . database syst .,2002,2214,understanding the semantics of sensor data,murali mani,acm sigmod record,2003
6027,0,287,converting relational to object-oriented databases,joseph fong,sigmod record,1997,1179,enhanced abstract data types in object-relational databases,praveen seshadri,the vldb journal -- the international journal on very large data bases,1998
